number,value,datetime_start,datetime_complete,duration,params_fast,params_macd_fast,params_macd_signal,params_macd_slow,params_rsi_period,params_rsi_threshold,params_slow,params_take_profit,params_trend_sma_period,state
687,648503.0201538312,2025-09-03 14:18:26.421033,2025-09-03 14:19:20.734114,0 days 00:00:54.313081,7,12,6,24,28,67,30,4.825559321340545,5,COMPLETE
688,112024.03590500275,2025-09-03 14:18:52.020444,2025-09-03 14:19:43.101452,0 days 00:00:51.081008,9,11,6,24,12,68,30,4.85436590302686,8,COMPLETE
689,440516.4171354337,2025-09-03 14:18:53.913511,2025-09-03 14:19:49.342371,0 days 00:00:55.428860,9,11,6,24,28,68,30,4.850069845202349,5,COMPLETE
690,128468.2559246472,2025-09-03 14:19:16.313655,2025-09-03 14:20:13.847636,0 days 00:00:57.533981,9,11,7,24,27,67,30,2.086047953104,5,COMPLETE
691,10319.508891145408,2025-09-03 14:19:20.761350,2025-09-03 14:20:17.169889,0 days 00:00:56.408539,7,12,7,24,28,67,153,4.823144568600063,5,COMPLETE
692,213565.16261954233,2025-09-03 14:19:43.113184,2025-09-03 14:20:35.787746,0 days 00:00:52.674562,7,12,7,24,28,68,41,4.72623230254645,5,COMPLETE
693,527414.5906582562,2025-09-03 14:19:49.365768,2025-09-03 14:20:43.564577,0 days 00:00:54.198809,9,12,7,24,28,67,30,4.706290359213688,5,COMPLETE
694,499810.7767265848,2025-09-03 14:20:13.912478,2025-09-03 14:21:09.558029,0 days 00:00:55.645551,9,12,6,24,28,66,30,4.7242752696767045,5,COMPLETE
695,497282.90713151474,2025-09-03 14:20:17.193813,2025-09-03 14:21:10.892322,0 days 00:00:53.698509,9,12,6,23,28,66,30,4.711392532163028,5,COMPLETE
696,-inf,2025-09-03 14:20:35.841006,2025-09-03 14:20:42.324871,0 days 00:00:06.483865,57,12,6,23,27,66,30,4.754801813048604,5,COMPLETE
697,19776.82291463457,2025-09-03 14:20:42.372984,2025-09-03 14:21:38.211415,0 days 00:00:55.838431,9,12,6,23,28,67,120,4.835831527010109,5,COMPLETE
698,501876.3701686784,2025-09-03 14:20:43.576377,2025-09-03 14:21:41.322357,0 days 00:00:57.745980,9,12,7,25,27,66,30,4.707590031876187,5,COMPLETE
699,299825.0908410157,2025-09-03 14:21:09.713700,2025-09-03 14:22:07.650579,0 days 00:00:57.936879,11,12,7,25,27,66,30,4.705809813487883,5,COMPLETE
700,326266.23061780486,2025-09-03 14:21:10.919212,2025-09-03 14:22:07.192210,0 days 00:00:56.272998,11,12,7,25,27,67,30,4.705891498981004,5,COMPLETE
701,299630.1519299671,2025-09-03 14:21:38.259125,2025-09-03 14:22:32.148355,0 days 00:00:53.889230,11,12,7,25,27,66,30,4.683467604352556,5,COMPLETE
702,309515.95135776093,2025-09-03 14:21:41.345488,2025-09-03 14:22:35.882101,0 days 00:00:54.536613,11,12,7,25,27,66,30,4.674693818821908,5,COMPLETE
703,310257.3658258887,2025-09-03 14:22:07.300745,2025-09-03 14:23:01.282658,0 days 00:00:53.981913,11,12,7,26,27,66,30,4.67065839434551,5,COMPLETE
704,304612.2010707461,2025-09-03 14:22:07.673313,2025-09-03 14:23:03.418068,0 days 00:00:55.744755,11,12,7,26,27,66,30,4.678156135394776,5,COMPLETE
705,15890.02395733408,2025-09-03 14:22:32.186428,2025-09-03 14:23:28.149330,0 days 00:00:55.962902,10,12,7,26,27,66,33,4.587059566198136,17,COMPLETE
706,399540.1149893922,2025-09-03 14:22:35.913855,2025-09-03 14:23:33.202816,0 days 00:00:57.288961,10,12,6,24,27,66,30,4.578424854713935,5,COMPLETE
707,198799.09473990338,2025-09-03 14:23:01.288984,2025-09-03 14:23:54.292986,0 days 00:00:53.004002,10,12,6,24,27,66,34,4.583855126660872,5,COMPLETE
708,202294.65212066396,2025-09-03 14:23:03.420644,2025-09-03 14:23:57.808341,0 days 00:00:54.387697,10,12,6,24,28,66,34,4.570088063560258,5,COMPLETE
709,221734.48809605764,2025-09-03 14:23:28.165936,2025-09-03 14:24:22.653351,0 days 00:00:54.487415,9,12,6,24,28,66,34,4.730262375533911,5,COMPLETE
710,237237.12406382218,2025-09-03 14:23:33.219806,2025-09-03 14:24:27.113699,0 days 00:00:53.893893,13,12,15,24,27,66,30,4.563372228130073,5,COMPLETE
711,215165.07570505296,2025-09-03 14:23:54.309792,2025-09-03 14:24:46.198661,0 days 00:00:51.888869,10,12,6,24,27,66,33,4.592511962397226,5,COMPLETE
712,231141.91791458242,2025-09-03 14:23:57.837030,2025-09-03 14:24:52.699108,0 days 00:00:54.862078,13,12,6,24,27,66,30,4.573480929229567,5,COMPLETE
713,323490.36955537123,2025-09-03 14:24:22.705948,2025-09-03 14:25:14.785214,0 days 00:00:52.079266,13,12,5,24,27,66,33,4.61106809630947,5,COMPLETE
714,217521.40938265983,2025-09-03 14:24:27.130538,2025-09-03 14:25:21.258470,0 days 00:00:54.127932,13,12,5,24,27,66,30,4.63106049481334,5,COMPLETE
715,245614.94880105887,2025-09-03 14:24:46.205533,2025-09-03 14:25:38.030469,0 days 00:00:51.824936,12,12,5,25,26,67,30,4.641931720814643,5,COMPLETE
716,85631.50585909876,2025-09-03 14:24:52.716306,2025-09-03 14:25:45.469556,0 days 00:00:52.753250,12,12,5,25,27,67,30,2.4181845461790967,5,COMPLETE
717,-inf,2025-09-03 14:25:14.843644,2025-09-03 14:25:21.473054,0 days 00:00:06.629410,60,12,6,25,26,46,30,4.708453877407871,5,COMPLETE
718,432114.80927998776,2025-09-03 14:25:21.289005,2025-09-03 14:26:13.655415,0 days 00:00:52.366410,10,12,6,25,26,67,30,4.714858481440124,5,COMPLETE
719,217465.57764521343,2025-09-03 14:25:21.484738,2025-09-03 14:26:13.959610,0 days 00:00:52.474872,10,12,6,23,28,67,34,4.722534694731794,6,COMPLETE
720,261786.05605026186,2025-09-03 14:25:38.042554,2025-09-03 14:26:31.294334,0 days 00:00:53.251780,9,11,6,23,28,67,34,4.744910066768527,6,COMPLETE
721,16512.742982077572,2025-09-03 14:25:45.487007,2025-09-03 14:26:41.061848,0 days 00:00:55.574841,9,11,6,23,28,67,170,4.737302874391391,6,COMPLETE
722,229571.23819639176,2025-09-03 14:26:13.667392,2025-09-03 14:27:03.208979,0 days 00:00:49.541587,10,12,6,23,26,67,36,4.742608781840999,6,COMPLETE
723,123309.26494311196,2025-09-03 14:26:14.014087,2025-09-03 14:27:01.132480,0 days 00:00:47.118393,15,11,6,23,26,67,36,4.759238953011009,6,COMPLETE
724,-inf,2025-09-03 14:26:31.321493,2025-09-03 14:26:40.073377,0 days 00:00:08.751884,54,12,6,39,26,67,37,4.766219800366892,6,COMPLETE
725,-inf,2025-09-03 14:26:40.147139,2025-09-03 14:27:28.183677,0 days 00:00:48.036538,15,11,6,24,26,35,36,4.772850812434074,5,COMPLETE
726,-inf,2025-09-03 14:26:41.082340,2025-09-03 14:27:30.253889,0 days 00:00:49.171549,11,12,6,24,26,37,36,4.774115834591249,5,COMPLETE
727,-inf,2025-09-03 14:27:01.133798,2025-09-03 14:27:52.935753,0 days 00:00:51.801955,11,12,6,25,26,32,34,4.799277211470853,5,COMPLETE
728,281325.68318787724,2025-09-03 14:27:03.273687,2025-09-03 14:27:59.155989,0 days 00:00:55.882302,11,12,7,24,26,66,34,4.798963592644942,5,COMPLETE
729,160158.69454287563,2025-09-03 14:27:28.190154,2025-09-03 14:28:20.201032,0 days 00:00:52.010878,12,12,7,25,27,65,30,3.5284225726317615,5,COMPLETE
730,346747.9765351731,2025-09-03 14:27:30.316699,2025-09-03 14:28:23.550274,0 days 00:00:53.233575,12,12,7,25,27,65,34,4.658338504485128,5,COMPLETE
731,1552.208998107892,2025-09-03 14:27:53.030547,2025-09-03 14:28:48.732062,0 days 00:00:55.701515,12,12,7,26,27,49,35,4.627991428449867,5,COMPLETE
732,518621.75204686105,2025-09-03 14:27:59.199031,2025-09-03 14:28:53.671868,0 days 00:00:54.472837,9,11,7,26,28,65,30,4.6713761897178365,5,COMPLETE
733,427832.2246859225,2025-09-03 14:28:20.283949,2025-09-03 14:29:18.705301,0 days 00:00:58.421352,9,11,5,26,27,66,30,4.664674363009787,6,COMPLETE
734,72362.61575677547,2025-09-03 14:28:23.587857,2025-09-03 14:29:18.243779,0 days 00:00:54.655922,9,11,5,26,28,67,30,1.6997623270400237,6,COMPLETE
735,360101.6104501303,2025-09-03 14:28:48.775215,2025-09-03 14:29:39.123787,0 days 00:00:50.348572,9,11,6,24,28,66,30,4.8477490188980985,6,COMPLETE
736,196453.6528174826,2025-09-03 14:28:53.759306,2025-09-03 14:29:47.007435,0 days 00:00:53.248129,9,11,7,26,28,66,38,4.5604697009834565,5,COMPLETE
737,860.0570390648604,2025-09-03 14:29:18.332730,2025-09-03 14:30:09.902488,0 days 00:00:51.569758,9,11,7,26,28,65,211,4.553208621225718,5,COMPLETE
738,193847.78994163746,2025-09-03 14:29:18.748795,2025-09-03 14:30:06.998073,0 days 00:00:48.249278,9,11,5,26,28,65,38,4.5886916491052645,5,COMPLETE
739,-inf,2025-09-03 14:29:39.140308,2025-09-03 14:29:47.986778,0 days 00:00:08.846470,77,11,5,27,28,65,38,4.552735216839999,5,COMPLETE
740,8447.824293571604,2025-09-03 14:29:47.029533,2025-09-03 14:30:41.269533,0 days 00:00:54.240000,10,11,5,27,28,65,188,4.64844972097167,5,COMPLETE
741,181155.77285846588,2025-09-03 14:29:47.998556,2025-09-03 14:30:38.673892,0 days 00:00:50.675336,10,11,5,25,28,66,34,4.590364845815758,6,COMPLETE
742,177280.6785368246,2025-09-03 14:30:07.014737,2025-09-03 14:31:03.458570,0 days 00:00:56.443833,10,10,5,25,28,65,34,4.658255935277909,6,COMPLETE
743,6990.021097388233,2025-09-03 14:30:09.914357,2025-09-03 14:31:05.729284,0 days 00:00:55.814927,10,10,5,27,28,65,181,4.6817019989792295,6,COMPLETE
744,324186.58710519876,2025-09-03 14:30:38.727192,2025-09-03 14:31:30.189274,0 days 00:00:51.462082,10,10,5,27,27,66,30,4.662922579976249,6,COMPLETE
745,394971.9878672022,2025-09-03 14:30:41.292411,2025-09-03 14:31:33.112293,0 days 00:00:51.819882,8,10,7,25,27,66,30,4.675663801792765,6,COMPLETE
746,400032.20527176117,2025-09-03 14:31:03.506613,2025-09-03 14:31:59.542509,0 days 00:00:56.035896,8,10,7,23,27,66,30,4.686172777225183,6,COMPLETE
747,11876.624272788184,2025-09-03 14:31:05.746042,2025-09-03 14:31:58.485763,0 days 00:00:52.739721,8,11,7,23,27,52,30,4.536690640506751,5,COMPLETE
748,202096.63175479945,2025-09-03 14:31:30.217183,2025-09-03 14:32:22.915930,0 days 00:00:52.698747,8,11,7,23,27,66,38,4.712356691949298,5,COMPLETE
749,138.63776025433404,2025-09-03 14:31:33.151882,2025-09-03 14:32:27.907094,0 days 00:00:54.755212,66,11,7,23,27,66,147,4.517809019144608,7,COMPLETE
750,253241.77343949812,2025-09-03 14:31:58.497247,2025-09-03 14:32:52.336586,0 days 00:00:53.839339,8,11,7,24,27,66,30,4.503069933053853,7,COMPLETE
751,191380.15700616667,2025-09-03 14:31:59.566502,2025-09-03 14:32:54.619755,0 days 00:00:55.053253,8,10,7,24,27,66,34,4.502724772201062,7,COMPLETE
752,191629.5225142421,2025-09-03 14:32:22.927843,2025-09-03 14:33:16.959844,0 days 00:00:54.032001,8,10,7,24,27,66,34,4.510851505607403,7,COMPLETE
753,19535.768096067917,2025-09-03 14:32:27.934567,2025-09-03 14:33:22.014213,0 days 00:00:54.079646,8,10,6,24,27,66,34,4.520915131654397,27,COMPLETE
754,264277.2533971187,2025-09-03 14:32:52.353769,2025-09-03 14:33:46.593807,0 days 00:00:54.240038,8,10,7,24,27,65,34,4.618848399328097,6,COMPLETE
755,409736.99262939394,2025-09-03 14:32:54.651287,2025-09-03 14:33:48.941124,0 days 00:00:54.289837,8,10,7,24,26,65,30,4.702650504940043,6,COMPLETE
756,54084.15481883052,2025-09-03 14:33:16.996829,2025-09-03 14:34:11.526324,0 days 00:00:54.529495,9,10,7,25,26,65,86,4.617801902976125,6,COMPLETE
757,-inf,2025-09-03 14:33:22.047424,2025-09-03 14:33:25.949896,0 days 00:00:03.902472,38,10,7,25,28,65,30,4.680784720532468,6,COMPLETE
758,203544.87859111643,2025-09-03 14:33:25.956086,2025-09-03 14:34:21.236519,0 days 00:00:55.280433,9,10,7,41,26,65,38,4.611309906953231,6,COMPLETE
759,204717.46407338604,2025-09-03 14:33:46.610686,2025-09-03 14:34:41.756422,0 days 00:00:55.145736,11,11,7,23,26,67,39,4.615587728480749,6,COMPLETE
760,208693.65154614547,2025-09-03 14:33:48.952722,2025-09-03 14:34:42.754202,0 days 00:00:53.801480,11,9,7,25,26,65,30,4.599215864599275,7,COMPLETE
761,211345.33402610055,2025-09-03 14:34:11.606575,2025-09-03 14:35:08.989999,0 days 00:00:57.383424,11,9,7,41,26,65,30,4.670755736785595,7,COMPLETE
762,282549.7769861473,2025-09-03 14:34:21.253986,2025-09-03 14:35:17.141989,0 days 00:00:55.888003,11,10,7,37,26,65,30,4.707123285888946,6,COMPLETE
763,210179.68107115215,2025-09-03 14:34:41.823330,2025-09-03 14:35:36.525633,0 days 00:00:54.702303,11,10,7,25,26,65,30,4.680582682316722,7,COMPLETE
764,225754.85731331294,2025-09-03 14:34:42.776819,2025-09-03 14:35:36.618266,0 days 00:00:53.841447,11,9,7,24,26,67,30,4.707173479509245,7,COMPLETE
765,140160.72487358793,2025-09-03 14:35:09.065763,2025-09-03 14:36:02.566821,0 days 00:00:53.501058,14,10,7,24,26,66,34,4.691013951837714,6,COMPLETE
766,-inf,2025-09-03 14:35:17.200784,2025-09-03 14:36:10.654705,0 days 00:00:53.453921,14,10,7,24,27,41,34,4.718267216075721,6,COMPLETE
767,145279.0145618371,2025-09-03 14:35:36.571245,2025-09-03 14:36:30.299049,0 days 00:00:53.727804,14,10,7,24,27,66,34,4.740022404692018,6,COMPLETE
768,118428.23230136518,2025-09-03 14:35:36.637452,2025-09-03 14:36:31.129024,0 days 00:00:54.491572,14,8,7,23,27,66,37,4.690276333315717,6,COMPLETE
769,226309.45351166808,2025-09-03 14:36:02.609085,2025-09-03 14:36:56.016244,0 days 00:00:53.407159,9,10,6,23,27,66,34,4.765103286083329,6,COMPLETE
770,3775.947761409481,2025-09-03 14:36:10.761365,2025-09-03 14:37:04.455619,0 days 00:00:53.694254,9,11,6,23,27,66,38,1.3405427275133461,22,COMPLETE
771,180327.38626596707,2025-09-03 14:36:30.374194,2025-09-03 14:37:23.138701,0 days 00:00:52.764507,9,11,6,23,27,67,38,4.524432170233463,6,COMPLETE
772,201388.51882314545,2025-09-03 14:36:31.135632,2025-09-03 14:37:24.578787,0 days 00:00:53.443155,9,11,6,23,27,67,38,4.519937349264747,5,COMPLETE
773,272845.2821852076,2025-09-03 14:36:56.065635,2025-09-03 14:37:47.528700,0 days 00:00:51.463065,9,11,6,25,28,67,39,4.55979709911287,5,COMPLETE
774,11215.161523321694,2025-09-03 14:37:04.529729,2025-09-03 14:37:54.462281,0 days 00:00:49.932552,8,11,6,25,28,67,135,4.529912456489513,5,COMPLETE
775,-inf,2025-09-03 14:37:23.155780,2025-09-03 14:37:29.757979,0 days 00:00:06.602199,44,11,6,25,28,67,30,4.574618389764239,5,COMPLETE
776,642265.3227065508,2025-09-03 14:37:24.595384,2025-09-03 14:38:19.364464,0 days 00:00:54.769080,7,11,6,25,28,67,30,4.583953687937282,5,COMPLETE
777,27636.531449100003,2025-09-03 14:37:29.790683,2025-09-03 14:38:23.175323,0 days 00:00:53.384640,7,11,7,25,28,67,34,4.790136202540464,24,COMPLETE
778,2152.733110509538,2025-09-03 14:37:47.535094,2025-09-03 14:38:43.292700,0 days 00:00:55.757606,7,11,7,24,28,67,246,4.829691331051916,5,COMPLETE
779,2934.669987416491,2025-09-03 14:37:54.491134,2025-09-03 14:38:52.199952,0 days 00:00:57.708818,7,10,7,24,27,65,199,3.0828008906028757,5,COMPLETE
780,351666.1218377198,2025-09-03 14:38:19.438942,2025-09-03 14:39:16.341835,0 days 00:00:56.902893,7,11,7,26,28,66,34,4.456289429890885,5,COMPLETE
781,309477.7119677484,2025-09-03 14:38:23.213157,2025-09-03 14:39:17.939818,0 days 00:00:54.726661,8,10,7,26,28,66,34,4.436517393264268,5,COMPLETE
782,559895.2751030746,2025-09-03 14:38:43.328943,2025-09-03 14:39:34.935593,0 days 00:00:51.606650,7,10,6,26,28,65,30,4.454031985033895,5,COMPLETE
783,60224.97657942129,2025-09-03 14:38:52.245322,2025-09-03 14:39:50.842348,0 days 00:00:58.597026,7,9,6,26,28,66,34,4.613217198522959,12,COMPLETE
784,98285.71666221337,2025-09-03 14:39:16.353629,2025-09-03 14:40:13.714941,0 days 00:00:57.361312,22,10,6,26,28,66,30,4.449150727705702,5,COMPLETE
785,532395.1203345857,2025-09-03 14:39:17.957012,2025-09-03 14:40:14.749519,0 days 00:00:56.792507,7,12,6,25,28,65,30,4.626527993533159,5,COMPLETE
786,279203.13661425153,2025-09-03 14:39:34.947420,2025-09-03 14:40:27.994312,0 days 00:00:53.046892,7,9,6,26,28,65,40,4.599846712156424,5,COMPLETE
787,255093.50158336267,2025-09-03 14:39:50.865119,2025-09-03 14:40:47.607891,0 days 00:00:56.742772,7,5,6,27,28,65,40,4.47831445683694,5,COMPLETE
788,260621.4337163001,2025-09-03 14:40:13.730266,2025-09-03 14:41:05.825897,0 days 00:00:52.095631,7,5,5,27,28,65,40,4.591828976619047,5,COMPLETE
789,176884.05171984504,2025-09-03 14:40:14.766534,2025-09-03 14:41:06.619402,0 days 00:00:51.852868,7,12,5,27,29,65,41,4.497065668656452,5,COMPLETE
790,213864.42542497785,2025-09-03 14:40:28.020564,2025-09-03 14:41:18.830438,0 days 00:00:50.809874,7,12,5,27,29,65,38,4.447045919475646,5,COMPLETE
791,192895.73771755188,2025-09-03 14:40:47.680585,2025-09-03 14:41:38.763503,0 days 00:00:51.082918,7,12,17,25,29,65,37,4.55205184918944,5,COMPLETE
792,-inf,2025-09-03 14:41:05.929418,2025-09-03 14:41:13.022896,0 days 00:00:07.093478,63,12,5,25,29,65,34,4.54862979864374,5,COMPLETE
793,183684.8228631221,2025-09-03 14:41:06.643861,2025-09-03 14:41:57.740597,0 days 00:00:51.096736,7,12,5,25,29,64,34,2.5720839543225797,5,COMPLETE
794,327194.30155639705,2025-09-03 14:41:13.029048,2025-09-03 14:42:08.379990,0 days 00:00:55.350942,7,12,6,25,29,67,37,4.613437183863865,5,COMPLETE
795,192955.6886394808,2025-09-03 14:41:18.873705,2025-09-03 14:42:11.272000,0 days 00:00:52.398295,7,12,6,25,29,64,34,2.6827262143472215,5,COMPLETE
796,373357.6688433643,2025-09-03 14:41:38.801770,2025-09-03 14:42:31.753707,0 days 00:00:52.951937,6,12,6,26,28,64,30,4.643618010190658,5,COMPLETE
797,559974.3345497658,2025-09-03 14:41:57.752329,2025-09-03 14:42:54.187643,0 days 00:00:56.435314,9,12,6,26,28,67,30,4.638766036920449,5,COMPLETE
798,37165.99101865117,2025-09-03 14:42:08.413549,2025-09-03 14:43:07.870110,0 days 00:00:59.456561,9,12,6,26,28,64,30,2.6671784441644752,14,COMPLETE
799,562660.029784865,2025-09-03 14:42:11.309636,2025-09-03 14:43:11.238905,0 days 00:00:59.929269,9,12,6,26,28,67,30,4.645809797458501,5,COMPLETE
800,560362.3860266968,2025-09-03 14:42:31.796872,2025-09-03 14:43:27.805423,0 days 00:00:56.008551,9,12,6,26,28,67,30,4.670187685720383,5,COMPLETE
801,442864.8678620295,2025-09-03 14:42:54.215374,2025-09-03 14:43:48.542098,0 days 00:00:54.326724,9,12,6,26,28,66,30,4.433869104229018,5,COMPLETE
802,441233.3766294307,2025-09-03 14:43:07.920278,2025-09-03 14:44:05.477090,0 days 00:00:57.556812,9,12,6,26,28,66,30,4.421460876603373,5,COMPLETE
803,449835.12011407764,2025-09-03 14:43:11.261565,2025-09-03 14:44:09.644037,0 days 00:00:58.382472,9,12,6,27,28,66,30,4.4174220780452655,5,COMPLETE
804,474794.679148314,2025-09-03 14:43:27.869515,2025-09-03 14:44:25.168447,0 days 00:00:57.298932,9,12,6,27,28,67,30,4.449984209276019,5,COMPLETE
805,224177.13496302697,2025-09-03 14:43:48.601294,2025-09-03 14:44:44.762569,0 days 00:00:56.161275,10,12,6,27,28,67,35,4.426723293888445,5,COMPLETE
806,361586.1270735948,2025-09-03 14:44:05.515678,2025-09-03 14:45:01.193507,0 days 00:00:55.677829,10,12,6,28,28,66,30,4.403410174833735,5,COMPLETE
807,173191.5497660287,2025-09-03 14:44:09.677627,2025-09-03 14:45:02.752382,0 days 00:00:53.074755,10,12,6,28,28,66,34,4.4001225651221585,5,COMPLETE
808,245364.58512255456,2025-09-03 14:44:25.330323,2025-09-03 14:45:21.725103,0 days 00:00:56.394780,12,12,16,28,28,66,34,4.4298170945445206,5,COMPLETE
809,227121.6358271025,2025-09-03 14:44:44.856129,2025-09-03 14:45:38.394812,0 days 00:00:53.538683,12,12,5,28,28,66,30,4.392953821329355,5,COMPLETE
810,287021.54514607973,2025-09-03 14:45:01.210670,2025-09-03 14:45:54.526839,0 days 00:00:53.316169,12,12,5,28,28,66,34,4.39800869138156,5,COMPLETE
811,288090.4427879416,2025-09-03 14:45:02.838211,2025-09-03 14:45:57.175199,0 days 00:00:54.336988,12,12,5,27,28,67,34,4.39612079196257,5,COMPLETE
812,-inf,2025-09-03 14:45:21.747443,2025-09-03 14:46:15.872429,0 days 00:00:54.124986,12,12,5,27,28,40,34,4.457533172033136,20,COMPLETE
813,192695.91260776517,2025-09-03 14:45:38.480743,2025-09-03 14:46:37.259137,0 days 00:00:58.778394,10,12,6,27,28,67,38,4.4608995321017355,5,COMPLETE
814,181468.67918124722,2025-09-03 14:45:54.595988,2025-09-03 14:46:49.607488,0 days 00:00:55.011500,10,12,6,27,28,67,38,4.390800955479565,5,COMPLETE
815,204080.73292097097,2025-09-03 14:45:57.210122,2025-09-03 14:46:53.385236,0 days 00:00:56.175114,10,12,6,26,28,67,38,4.4760548583761945,5,COMPLETE
816,175457.19823977893,2025-09-03 14:46:15.899693,2025-09-03 14:47:05.666551,0 days 00:00:49.766858,9,12,6,27,28,67,38,4.324933643642933,5,COMPLETE
817,3701.8890604510175,2025-09-03 14:46:37.265438,2025-09-03 14:47:23.038522,0 days 00:00:45.773084,9,12,6,27,28,67,129,4.314818593348211,23,COMPLETE
818,475902.4249476736,2025-09-03 14:46:49.717577,2025-09-03 14:47:44.100689,0 days 00:00:54.383112,9,12,6,26,29,67,30,4.495200696573897,5,COMPLETE
819,431772.8764786921,2025-09-03 14:46:53.422557,2025-09-03 14:47:47.214400,0 days 00:00:53.791843,9,12,6,26,28,65,30,4.494156602127805,5,COMPLETE
820,212073.1006722258,2025-09-03 14:47:05.709008,2025-09-03 14:47:57.682591,0 days 00:00:51.973583,9,12,6,26,29,66,34,4.510675160995539,5,COMPLETE
821,-inf,2025-09-03 14:47:23.081859,2025-09-03 14:47:32.367012,0 days 00:00:09.285153,41,12,6,26,29,66,30,4.509813485036601,5,COMPLETE
822,446729.30065956415,2025-09-03 14:47:32.393436,2025-09-03 14:48:29.085807,0 days 00:00:56.692371,9,12,6,26,29,65,30,4.490801997097097,5,COMPLETE
823,444054.88500133227,2025-09-03 14:47:44.164055,2025-09-03 14:48:39.543012,0 days 00:00:55.378957,9,12,6,26,29,65,30,4.463387285402459,5,COMPLETE
824,196545.947097906,2025-09-03 14:47:47.226291,2025-09-03 14:48:42.051295,0 days 00:00:54.825004,11,12,6,26,29,65,41,4.471392118485542,5,COMPLETE
825,166799.3182416618,2025-09-03 14:47:57.694398,2025-09-03 14:48:51.416503,0 days 00:00:53.722105,11,13,6,27,29,65,41,4.3175312236848,5,COMPLETE
826,147769.44961502452,2025-09-03 14:48:29.145182,2025-09-03 14:49:26.314877,0 days 00:00:57.169695,11,13,6,27,29,65,42,4.309680501061993,5,COMPLETE
827,-inf,2025-09-03 14:48:39.554654,2025-09-03 14:48:44.379725,0 days 00:00:04.825071,70,13,6,28,29,64,42,4.328398976301696,5,COMPLETE
828,278361.19146543415,2025-09-03 14:48:42.060300,2025-09-03 14:49:36.365607,0 days 00:00:54.305307,8,13,6,27,29,65,34,4.25780905376442,5,COMPLETE
829,309852.81446585647,2025-09-03 14:48:44.422811,2025-09-03 14:49:41.219692,0 days 00:00:56.796881,8,13,6,26,29,65,34,4.389056914517499,5,COMPLETE
830,318927.0450547788,2025-09-03 14:48:51.422757,2025-09-03 14:49:48.849839,0 days 00:00:57.427082,8,12,6,27,29,65,34,4.386908485030829,5,COMPLETE
831,290172.8556799914,2025-09-03 14:49:26.343320,2025-09-03 14:50:24.106701,0 days 00:00:57.763381,8,12,6,27,29,64,35,4.5088109944060415,5,COMPLETE
832,210351.0365211848,2025-09-03 14:49:36.398582,2025-09-03 14:50:32.289466,0 days 00:00:55.890884,13,12,6,26,29,64,34,4.403589519829651,5,COMPLETE
833,258215.449362977,2025-09-03 14:49:41.284621,2025-09-03 14:50:37.684030,0 days 00:00:56.399409,13,12,6,27,29,64,36,4.35445331042141,5,COMPLETE
834,146249.76037163456,2025-09-03 14:49:48.915896,2025-09-03 14:50:43.449037,0 days 00:00:54.533141,13,12,6,26,29,64,38,4.457027368145437,5,COMPLETE
835,390945.2951102319,2025-09-03 14:50:24.118777,2025-09-03 14:51:18.276135,0 days 00:00:54.157358,10,12,6,26,29,66,30,4.43812567881551,5,COMPLETE
836,382654.4106920492,2025-09-03 14:50:32.295974,2025-09-03 14:51:25.528332,0 days 00:00:53.232358,10,12,6,26,29,66,30,4.487547273810143,5,COMPLETE
837,446287.3799195611,2025-09-03 14:50:37.690103,2025-09-03 14:51:33.813930,0 days 00:00:56.123827,9,12,6,26,29,66,30,4.471242530828609,5,COMPLETE
838,354279.2911010045,2025-09-03 14:50:43.534357,2025-09-03 14:51:41.374464,0 days 00:00:57.840107,10,12,6,28,29,66,30,4.482545297052416,5,COMPLETE
839,430089.8925347512,2025-09-03 14:51:18.340108,2025-09-03 14:52:12.501203,0 days 00:00:54.161095,9,12,6,28,29,66,30,4.50889145499961,5,COMPLETE
840,210979.71489849643,2025-09-03 14:51:25.540233,2025-09-03 14:52:20.007354,0 days 00:00:54.467121,8,12,6,28,29,66,38,4.514015267064928,5,COMPLETE
841,168218.57368773763,2025-09-03 14:51:33.814811,2025-09-03 14:52:29.731527,0 days 00:00:55.916716,9,12,6,29,29,65,38,4.496767323019861,6,COMPLETE
842,165447.44327072627,2025-09-03 14:51:41.413463,2025-09-03 14:52:37.408616,0 days 00:00:55.995153,11,12,5,28,29,65,38,4.453031467575125,6,COMPLETE
843,53215.525945523594,2025-09-03 14:52:12.508007,2025-09-03 14:53:05.305098,0 days 00:00:52.797091,12,12,5,26,29,65,69,4.372186801366276,6,COMPLETE
844,23074.78613218763,2025-09-03 14:52:20.049061,2025-09-03 14:53:16.608070,0 days 00:00:56.559009,12,12,5,26,29,65,37,4.295597369482611,15,COMPLETE
845,196807.18900977142,2025-09-03 14:52:29.785290,2025-09-03 14:53:22.042754,0 days 00:00:52.257464,12,12,5,26,29,67,34,4.278894537946379,6,COMPLETE
846,11570.414796897738,2025-09-03 14:52:37.456485,2025-09-03 14:53:30.409211,0 days 00:00:52.952726,12,12,5,26,29,66,34,4.3551009763480355,29,COMPLETE
847,-inf,2025-09-03 14:53:05.348976,2025-09-03 14:53:14.457710,0 days 00:00:09.108734,47,12,6,26,28,66,34,4.268993686402027,5,COMPLETE
848,334483.4496829212,2025-09-03 14:53:14.479774,2025-09-03 14:54:10.612062,0 days 00:00:56.132288,6,12,6,26,29,67,34,4.571940844609224,5,COMPLETE
