number,value,datetime_start,datetime_complete,duration,params_dema_period,params_tema_fast,params_tema_slow,state
64,2368.5665289716208,2025-06-30 21:57:44.453646,2025-06-30 22:06:15.404191,0 days 00:08:30.950545,38,71,159,COMPLETE
65,-13780.90010140858,2025-06-30 21:57:44.502514,2025-06-30 22:06:47.561025,0 days 00:09:03.058511,71,14,73,COMPLETE
66,5350.24458627247,2025-06-30 21:57:44.584162,2025-06-30 22:06:01.134052,0 days 00:08:16.549890,164,51,242,COMPLETE
67,-1650.2174894688424,2025-06-30 21:57:44.611022,2025-06-30 22:06:35.139541,0 days 00:08:50.528519,56,17,224,COMPLETE
68,-1336.5177318099531,2025-06-30 21:57:44.631618,2025-06-30 22:06:16.010177,0 days 00:08:31.378559,91,45,217,COMPLETE
69,-2488.015832796117,2025-06-30 21:57:44.715236,2025-06-30 22:06:34.706865,0 days 00:08:49.991629,113,7,214,COMPLETE
70,-1395.4186327110838,2025-06-30 21:57:44.773348,2025-06-30 22:07:06.908994,0 days 00:09:22.135646,25,41,59,COMPLETE
71,611.6412446909026,2025-06-30 21:57:44.933791,2025-06-30 22:07:19.544825,0 days 00:09:34.611034,87,66,213,COMPLETE
72,-307.8190574601176,2025-06-30 21:57:44.959458,2025-06-30 22:07:56.720432,0 days 00:10:11.760974,123,74,157,COMPLETE
73,-6207.332115593594,2025-06-30 21:57:45.169393,2025-06-30 22:07:20.171367,0 days 00:09:35.001974,75,16,229,COMPLETE
74,5448.380798898499,2025-06-30 21:57:45.318711,2025-06-30 22:07:58.307240,0 days 00:10:12.988529,114,59,116,COMPLETE
75,4092.553769097831,2025-06-30 21:57:45.451573,2025-06-30 22:07:55.449288,0 days 00:10:09.997715,140,62,157,COMPLETE
76,5934.755419951889,2025-06-30 21:57:45.602488,2025-06-30 22:09:16.465697,0 days 00:11:30.863209,115,28,74,COMPLETE
77,3267.383959779675,2025-06-30 21:57:45.748948,2025-06-30 22:09:07.387495,0 days 00:11:21.638547,159,80,133,COMPLETE
78,-2511.7196296275006,2025-06-30 21:57:45.787429,2025-06-30 22:09:54.325680,0 days 00:12:08.538251,62,24,129,COMPLETE
79,5248.151142175864,2025-06-30 21:57:45.967358,2025-06-30 22:08:34.248783,0 days 00:10:48.281425,172,22,197,COMPLETE
80,187.31995915982225,2025-06-30 21:57:46.198355,2025-06-30 22:09:08.368931,0 days 00:11:22.170576,36,20,176,COMPLETE
