number,value,datetime_start,datetime_complete,duration,params_atr_multiplier,params_atr_period,params_ema_period,state
55,23864.8557504507,2025-08-03 21:36:27.042218,2025-08-03 21:36:46.622745,0 days 00:00:19.580527,3.937463831291369,27,46,COMPLETE
56,1118.5177242027507,2025-08-03 21:36:27.059643,2025-08-03 21:36:36.679219,0 days 00:00:09.619576,1.016860239662749,47,91,COMPLETE
57,5186.372324631539,2025-08-03 21:36:27.065939,2025-08-03 21:36:48.094480,0 days 00:00:21.028541,0.6825279694574409,25,45,COMPLETE
58,2192.069203968067,2025-08-03 21:36:27.112223,2025-08-03 21:36:47.409744,0 days 00:00:20.297521,1.0927299679565894,11,69,COMPLETE
59,3234.8962694795428,2025-08-03 21:36:27.163123,2025-08-03 21:36:49.499940,0 days 00:00:22.336817,3.4775507657713547,40,20,COMPLETE
60,2415.6644156053417,2025-08-03 21:36:27.182351,2025-08-03 21:36:50.052752,0 days 00:00:22.870401,3.3402396052672856,39,42,COMPLETE
61,1102.5876250406004,2025-08-03 21:36:27.205714,2025-08-03 21:36:50.206239,0 days 00:00:23.000525,0.6033063562310832,39,89,COMPLETE
62,16986.69253542955,2025-08-03 21:36:27.210328,2025-08-03 21:36:50.361772,0 days 00:00:23.151444,1.666904373468348,12,52,COMPLETE
63,11436.61287966331,2025-08-03 21:36:27.265653,2025-08-03 21:36:50.740091,0 days 00:00:23.474438,1.5397932179095006,23,75,COMPLETE
64,4157.181165486416,2025-08-03 21:36:27.308345,2025-08-03 21:36:51.205248,0 days 00:00:23.896903,2.0863812017648424,9,84,COMPLETE
65,2763.3991902822368,2025-08-03 21:36:27.341871,2025-08-03 21:36:51.133283,0 days 00:00:23.791412,0.8913639409846845,39,100,COMPLETE
66,1375.8176909523017,2025-08-03 21:36:27.429627,2025-08-03 21:36:53.478070,0 days 00:00:26.048443,4.321157436998107,42,64,COMPLETE
67,2954.6804155785335,2025-08-03 21:36:27.435898,2025-08-03 21:36:51.738187,0 days 00:00:24.302289,2.9344180764489014,16,35,COMPLETE
