number,value,datetime_start,datetime_complete,duration,params_macd_fast,params_macd_signal,params_macd_slow,params_volume_sma,params_volume_spike_ratio,state
124,9200.131172660798,2025-07-31 22:27:48.958142,2025-07-31 22:29:37.319110,0 days 00:01:48.360968,15,11,19,11,2.6773180526672253,COMPLETE
125,15160.692677058583,2025-07-31 22:27:48.997620,2025-07-31 22:29:38.866336,0 days 00:01:49.868716,11,7,30,33,2.288993601923038,COMPLETE
126,7060.941202102392,2025-07-31 22:27:49.029448,2025-07-31 22:29:39.846103,0 days 00:01:50.816655,12,16,34,37,1.9550006914460947,COMPLETE
127,5173.214054537111,2025-07-31 22:27:49.035372,2025-07-31 22:29:41.502385,0 days 00:01:52.467013,10,13,22,49,1.9143506979535538,COMPLETE
128,18794.29262091623,2025-07-31 22:27:49.084306,2025-07-31 22:29:42.388128,0 days 00:01:53.303822,16,7,19,24,2.666329580321295,COMPLETE
129,7490.621806712887,2025-07-31 22:27:49.120062,2025-07-31 22:29:44.562169,0 days 00:01:55.442107,11,8,15,6,2.1807853566583497,COMPLETE
130,18868.894867856336,2025-07-31 22:27:49.147596,2025-07-31 22:29:41.154118,0 days 00:01:52.006522,18,8,23,21,2.6936825230742723,COMPLETE
131,6562.521466635098,2025-07-31 22:27:49.158297,2025-07-31 22:29:43.848990,0 days 00:01:54.690693,11,15,48,13,2.0240956995317503,COMPLETE
132,15228.974046499581,2025-07-31 22:27:49.164631,2025-07-31 22:29:45.735733,0 days 00:01:56.571102,19,15,41,32,2.97120428374973,COMPLETE
133,7540.387704926117,2025-07-31 22:27:49.203886,2025-07-31 22:29:43.310502,0 days 00:01:54.106616,18,10,29,16,2.2705203345345404,COMPLETE
134,3874.8720044237793,2025-07-31 22:27:49.205191,2025-07-31 22:29:41.604523,0 days 00:01:52.399332,9,15,29,49,2.8930322080747466,COMPLETE
135,19128.473661904165,2025-07-31 22:27:49.206580,2025-07-31 22:29:48.017173,0 days 00:01:58.810593,18,6,23,47,2.4297501201968927,COMPLETE
136,3249.1250576997677,2025-07-31 22:27:49.208248,2025-07-31 22:29:57.737246,0 days 00:02:08.528998,5,18,17,43,2.706174606587709,COMPLETE
137,21971.68710742854,2025-07-31 22:27:49.209188,2025-07-31 22:29:46.241409,0 days 00:01:57.032221,11,7,32,40,2.833549210103598,COMPLETE
138,6767.748640538235,2025-07-31 22:27:49.209856,2025-07-31 22:29:49.183810,0 days 00:01:59.973954,7,9,16,49,2.213044948058428,COMPLETE
139,2878.458381487967,2025-07-31 22:27:49.210349,2025-07-31 22:29:57.090133,0 days 00:02:07.879784,5,10,49,45,2.5026560173770753,COMPLETE
140,10342.703003636458,2025-07-31 22:27:49.211995,2025-07-31 22:29:52.485976,0 days 00:02:03.273981,9,6,44,32,2.1707967633170453,COMPLETE
141,3308.611364731658,2025-07-31 22:27:49.212677,2025-07-31 22:29:52.047046,0 days 00:02:02.834369,17,18,28,18,1.6945059671714742,COMPLETE
142,4049.5513725189094,2025-07-31 22:27:49.213469,2025-07-31 22:29:53.163314,0 days 00:02:03.949845,16,9,35,42,2.775841233810966,COMPLETE
143,5182.562302668351,2025-07-31 22:27:49.215911,2025-07-31 22:29:55.767094,0 days 00:02:06.551183,13,20,43,17,2.5053177008476055,COMPLETE
144,3691.486753574204,2025-07-31 22:27:49.218066,2025-07-31 22:29:52.625657,0 days 00:02:03.407591,7,14,39,23,2.796176990162464,COMPLETE
145,3331.7281162864865,2025-07-31 22:27:49.219930,2025-07-31 22:29:57.357577,0 days 00:02:08.137647,10,19,34,27,1.5014596855433069,COMPLETE
146,22009.27240673826,2025-07-31 22:27:49.222359,2025-07-31 22:29:57.243484,0 days 00:02:08.021125,16,18,48,35,2.8820940758696283,COMPLETE
