number,value,datetime_start,datetime_complete,duration,params_atr_multiplier,params_atr_period,params_ema_period,state
67,3637.8730464852633,2025-08-06 11:09:06.021151,2025-08-06 11:09:29.863513,0 days 00:00:23.842362,2.9174067832331856,18,67,COMPLETE
68,1107.1553350059141,2025-08-06 11:09:06.185289,2025-08-06 11:09:30.774374,0 days 00:00:24.589085,1.7702655292305236,50,74,COMPLETE
69,13894.757579018979,2025-08-06 11:09:06.252730,2025-08-06 11:09:30.710101,0 days 00:00:24.457371,1.7527692820478014,35,37,COMPLETE
70,-873.6657006204525,2025-08-06 11:09:06.320360,2025-08-06 11:09:30.399480,0 days 00:00:24.079120,3.798150331648405,50,73,COMPLETE
71,3922.4213979059405,2025-08-06 11:09:06.352049,2025-08-06 11:09:30.187878,0 days 00:00:23.835829,2.722454101908096,36,48,COMPLETE
72,3450.2047898109145,2025-08-06 11:09:06.422451,2025-08-06 11:09:30.280938,0 days 00:00:23.858487,1.1256280956843,12,60,COMPLETE
73,12606.506506899726,2025-08-06 11:09:06.503267,2025-08-06 11:09:30.939298,0 days 00:00:24.436031,4.29389690180809,15,29,COMPLETE
74,8259.155344795077,2025-08-06 11:09:06.515189,2025-08-06 11:09:17.363612,0 days 00:00:10.848423,1.3229433663554078,40,22,COMPLETE
75,4246.0727209617835,2025-08-06 11:09:06.548238,2025-08-06 11:09:31.648033,0 days 00:00:25.099795,2.66956349118935,39,50,COMPLETE
76,3645.067331352063,2025-08-06 11:09:06.555684,2025-08-06 11:09:33.264145,0 days 00:00:26.708461,3.064361614407964,23,32,COMPLETE
77,11521.323869057656,2025-08-06 11:09:06.605737,2025-08-06 11:09:33.180025,0 days 00:00:26.574288,1.261923675642453,22,24,COMPLETE
78,9003.442456542709,2025-08-06 11:09:06.640737,2025-08-06 11:09:33.817084,0 days 00:00:27.176347,4.246393998257123,17,69,COMPLETE
79,7571.085515628155,2025-08-06 11:09:06.675804,2025-08-06 11:09:35.460194,0 days 00:00:28.784390,2.0830030246028945,7,32,COMPLETE
80,14282.276951654434,2025-08-06 11:09:06.687115,2025-08-06 11:09:34.190639,0 days 00:00:27.503524,1.638281452537497,6,78,COMPLETE
81,3991.7141939387316,2025-08-06 11:09:06.694242,2025-08-06 11:09:34.749904,0 days 00:00:28.055662,2.3356141754738164,41,47,COMPLETE
82,7087.316043082396,2025-08-06 11:09:06.752681,2025-08-06 11:09:34.680237,0 days 00:00:27.927556,2.666697826350354,12,83,COMPLETE
83,4252.7286027684695,2025-08-06 11:09:06.785591,2025-08-06 11:09:34.106116,0 days 00:00:27.320525,1.1752659290803105,31,45,COMPLETE
84,12244.035261977944,2025-08-06 11:09:06.801200,2025-08-06 11:09:34.373333,0 days 00:00:27.572133,2.0440689430369767,15,24,COMPLETE
85,969.7918721712845,2025-08-06 11:09:06.815306,2025-08-06 11:09:34.559715,0 days 00:00:27.744409,2.5673782107766265,48,100,COMPLETE
86,4342.239595740743,2025-08-06 11:09:06.894458,2025-08-06 11:09:35.631598,0 days 00:00:28.737140,1.3689310130625638,30,66,COMPLETE
87,2516.9818602101923,2025-08-06 11:09:06.905182,2025-08-06 11:09:35.967598,0 days 00:00:29.062416,4.0672633610352165,44,100,COMPLETE
88,-inf,2025-08-06 11:09:06.924232,2025-08-06 11:09:36.756637,0 days 00:00:29.832405,4.162205462834281,44,41,COMPLETE
89,6022.981042346342,2025-08-06 11:09:06.996745,2025-08-06 11:09:37.119277,0 days 00:00:30.122532,1.6480855007975874,42,28,COMPLETE
90,5119.192987529209,2025-08-06 11:09:07.043021,2025-08-06 11:09:37.166116,0 days 00:00:30.123095,2.6805621549764096,16,48,COMPLETE
91,12846.343710977404,2025-08-06 11:09:07.060530,2025-08-06 11:09:36.406227,0 days 00:00:29.345697,3.289623038362717,13,20,COMPLETE
92,1916.6008451239024,2025-08-06 11:09:07.072015,2025-08-06 11:09:36.627917,0 days 00:00:29.555902,2.4225398269089173,19,74,COMPLETE
93,5501.941494425339,2025-08-06 11:09:07.179213,2025-08-06 11:09:37.380304,0 days 00:00:30.201091,2.1318548580625714,30,61,COMPLETE
94,4971.722539646738,2025-08-06 11:09:07.232482,2025-08-06 11:09:41.030688,0 days 00:00:33.798206,4.403417805782714,5,45,COMPLETE
95,4517.298231952189,2025-08-06 11:09:07.245494,2025-08-06 11:09:38.164053,0 days 00:00:30.918559,4.453134244201494,7,45,COMPLETE
96,4798.782175269656,2025-08-06 11:09:07.267200,2025-08-06 11:09:17.139436,0 days 00:00:09.872236,4.385858946424318,6,48,COMPLETE
97,6958.821265562502,2025-08-06 11:09:07.394530,2025-08-06 11:09:38.689394,0 days 00:00:31.294864,4.232359585851285,8,44,COMPLETE
98,6729.774595293564,2025-08-06 11:09:07.422584,2025-08-06 11:09:41.537184,0 days 00:00:34.114600,4.284681765886922,5,45,COMPLETE
99,4705.343499090677,2025-08-06 11:09:07.506344,2025-08-06 11:09:42.097321,0 days 00:00:34.590977,4.413611055170923,5,44,COMPLETE
100,3597.1684902252664,2025-08-06 11:09:07.619231,2025-08-06 11:09:24.175974,0 days 00:00:16.556743,4.436838448595906,5,46,COMPLETE
101,25796.03015449668,2025-08-06 11:09:07.642010,2025-08-06 11:09:43.524817,0 days 00:00:35.882807,1.6706997317824155,5,45,COMPLETE
102,6551.984207493986,2025-08-06 11:09:07.814311,2025-08-06 11:09:44.964007,0 days 00:00:37.149696,4.156681785037012,5,98,COMPLETE
103,5416.363422746776,2025-08-06 11:09:07.831737,2025-08-06 11:09:40.122011,0 days 00:00:32.290274,4.4584396284545855,5,96,COMPLETE
104,4642.116064901449,2025-08-06 11:09:07.933665,2025-08-06 11:09:46.596901,0 days 00:00:38.663236,4.475640204249778,8,98,COMPLETE
105,5370.6486446629315,2025-08-06 11:09:07.959839,2025-08-06 11:09:40.587722,0 days 00:00:32.627883,4.3451718906991506,7,97,COMPLETE
106,5997.618962439591,2025-08-06 11:09:07.998380,2025-08-06 11:09:47.231673,0 days 00:00:39.233293,4.449692982925323,9,99,COMPLETE
107,2814.493281889105,2025-08-06 11:09:08.046369,2025-08-06 11:10:03.621296,0 days 00:00:55.574927,4.477066038244897,6,100,COMPLETE
108,2285.9306929870827,2025-08-06 11:09:08.089771,2025-08-06 11:09:48.160419,0 days 00:00:40.070648,4.359801026569013,5,98,COMPLETE
109,1960.2631581493658,2025-08-06 11:09:08.163121,2025-08-06 11:09:49.238765,0 days 00:00:41.075644,4.454384413503374,5,100,COMPLETE
110,1600.4419009732214,2025-08-06 11:09:08.265287,2025-08-06 11:10:07.134382,0 days 00:00:58.869095,4.427452599478072,7,100,COMPLETE
111,5416.363422746776,2025-08-06 11:09:08.293277,2025-08-06 11:09:49.862407,0 days 00:00:41.569130,4.45514194522348,5,97,COMPLETE
112,1140.5597411636684,2025-08-06 11:09:08.513586,2025-08-06 11:09:52.077920,0 days 00:00:43.564334,4.407677438191958,5,100,COMPLETE
113,6457.308539523482,2025-08-06 11:09:08.548841,2025-08-06 11:09:50.856284,0 days 00:00:42.307443,4.499168653058715,5,99,COMPLETE
114,1989.564374809289,2025-08-06 11:09:08.597441,2025-08-06 11:09:51.645485,0 days 00:00:43.048044,4.438036552538299,5,100,COMPLETE
