number,value,datetime_start,datetime_complete,duration,params_rsi_oversold,params_rsi_period,params_stoch_d_period,params_stoch_k_period,params_stoch_overbought,params_stoch_oversold,params_stoch_smooth_period,state
62,4152.624378178887,2025-07-01 16:03:13.036887,2025-07-01 16:25:35.308112,0 days 00:22:22.271225,28,7,9,9,67,20,2,COMPLETE
63,4522.607206373953,2025-07-01 16:03:13.043927,2025-07-01 16:25:18.058311,0 days 00:22:05.014384,10,22,7,16,68,36,1,COMPLETE
64,5076.11912638861,2025-07-01 16:03:13.047804,2025-07-01 16:24:37.292670,0 days 00:21:24.244866,8,10,3,15,87,14,1,COMPLETE
65,3407.1921070274766,2025-07-01 16:03:13.058026,2025-07-01 16:25:55.405612,0 days 00:22:42.347586,28,20,4,18,77,24,2,COMPLETE
66,8366.917165499002,2025-07-01 16:03:13.068041,2025-07-01 16:27:24.492927,0 days 00:24:11.424886,1,22,5,8,77,19,4,COMPLETE
67,5034.670099233555,2025-07-01 16:03:13.116734,2025-07-01 16:28:41.922437,0 days 00:25:28.805703,11,26,5,16,60,15,2,COMPLETE
68,4528.442593566888,2025-07-01 16:03:13.379155,2025-07-01 16:26:33.636346,0 days 00:23:20.257191,30,27,6,18,77,25,1,COMPLETE
69,4101.25281792281,2025-07-01 16:03:13.800011,2025-07-01 16:23:32.647684,0 days 00:20:18.847673,2,16,3,8,71,24,5,COMPLETE
70,4205.022095961453,2025-07-01 16:03:14.173600,2025-07-01 16:25:44.153442,0 days 00:22:29.979842,10,30,3,14,69,24,2,COMPLETE
71,6110.874515646345,2025-07-01 16:03:14.523942,2025-07-01 16:25:27.344590,0 days 00:22:12.820648,30,6,10,10,78,13,1,COMPLETE
72,4234.823268634467,2025-07-01 16:03:14.549841,2025-07-01 16:29:12.521646,0 days 00:25:57.971805,22,27,10,14,64,11,3,COMPLETE
73,6129.794516817854,2025-07-01 16:03:14.622190,2025-07-01 16:32:30.651892,0 days 00:29:16.029702,12,8,6,19,68,14,4,COMPLETE
74,-859.8886329963207,2025-07-01 16:03:14.822983,2025-07-01 16:29:06.893609,0 days 00:25:52.070626,17,28,2,9,64,34,4,COMPLETE
75,4319.219931526521,2025-07-01 16:03:14.859456,2025-07-01 16:32:24.112804,0 days 00:29:09.253348,3,25,7,9,67,25,4,COMPLETE
76,2474.7452342633405,2025-07-01 16:03:14.905789,2025-07-01 16:31:34.301728,0 days 00:28:19.395939,4,5,4,12,61,35,5,COMPLETE
77,4054.920620999753,2025-07-01 16:03:15.144545,2025-07-01 16:27:36.260062,0 days 00:24:21.115517,12,13,9,9,72,13,1,COMPLETE
78,4786.028043069484,2025-07-01 16:03:15.572204,2025-07-01 16:28:20.941347,0 days 00:25:05.369143,18,25,7,21,81,36,2,COMPLETE
79,2436.5994804935726,2025-07-01 16:03:15.676335,2025-07-01 16:30:14.288269,0 days 00:26:58.611934,21,14,7,5,62,27,3,COMPLETE
80,4782.672429556634,2025-07-01 16:03:15.910538,2025-07-01 16:32:27.204242,0 days 00:29:11.293704,6,9,5,20,77,33,5,COMPLETE
81,4645.39200186276,2025-07-01 16:03:16.209437,2025-07-01 16:32:58.117101,0 days 00:29:41.907664,21,17,10,17,73,29,5,COMPLETE
82,3335.89177742265,2025-07-01 16:03:16.586433,2025-07-01 16:32:58.663555,0 days 00:29:42.077122,23,12,6,6,66,28,3,COMPLETE
83,5870.177954941958,2025-07-01 16:03:16.936391,2025-07-01 16:34:39.852256,0 days 00:31:22.915865,2,15,4,6,74,16,2,COMPLETE
84,3849.0894000459266,2025-07-01 16:03:17.102725,2025-07-01 16:33:28.535964,0 days 00:30:11.433239,1,22,5,15,61,21,5,COMPLETE
85,5473.019990861013,2025-07-01 16:03:17.622639,2025-07-01 16:37:51.095500,0 days 00:34:33.472861,6,11,8,18,69,24,2,COMPLETE
86,4130.28310888681,2025-07-01 16:03:17.760655,2025-07-01 16:35:28.459093,0 days 00:32:10.698438,15,5,6,14,78,17,1,COMPLETE
87,4953.47952785717,2025-07-01 16:03:18.081020,2025-07-01 16:36:03.040969,0 days 00:32:44.959949,16,7,8,15,65,19,5,COMPLETE
88,1861.5999752894095,2025-07-01 16:03:18.496696,2025-07-01 16:35:59.680138,0 days 00:32:41.183442,30,13,5,9,60,11,5,COMPLETE
89,6533.986722606689,2025-07-01 16:03:18.757197,2025-07-01 16:37:14.733544,0 days 00:33:55.976347,1,18,7,10,89,15,3,COMPLETE
90,5964.086494607374,2025-07-01 16:03:19.035060,2025-07-01 16:38:01.077929,0 days 00:34:42.042869,30,23,7,6,83,19,4,COMPLETE
91,13530.85122989925,2025-07-01 16:03:19.179983,2025-07-01 16:37:37.103080,0 days 00:34:17.923097,29,7,10,21,85,31,1,COMPLETE
92,3436.8999081651345,2025-07-01 16:03:19.438001,2025-07-01 16:38:34.439773,0 days 00:35:15.001772,17,14,7,12,83,20,4,COMPLETE
93,5715.322395204481,2025-07-01 16:03:19.526476,2025-07-01 16:41:00.285563,0 days 00:37:40.759087,21,6,9,11,80,10,2,COMPLETE
94,2762.9606984811144,2025-07-01 16:03:19.569930,2025-07-01 16:36:54.284778,0 days 00:33:34.714848,26,20,9,10,68,31,4,COMPLETE
95,6731.414814009976,2025-07-01 16:03:19.767588,2025-07-01 16:39:04.036169,0 days 00:35:44.268581,23,6,8,18,86,18,2,COMPLETE
96,7502.250624339082,2025-07-01 16:03:20.143302,2025-07-01 16:37:24.051002,0 days 00:34:03.907700,24,21,7,13,86,11,5,COMPLETE
97,4308.077377894145,2025-07-01 16:03:20.517703,2025-07-01 16:39:37.321470,0 days 00:36:16.803767,14,17,9,13,75,19,2,COMPLETE
98,2252.315415116147,2025-07-01 16:03:20.913423,2025-07-01 16:38:43.552987,0 days 00:35:22.639564,24,11,2,10,67,22,1,COMPLETE
99,3566.345184593106,2025-07-01 16:03:21.115456,2025-07-01 16:42:05.422874,0 days 00:38:44.307418,19,21,8,8,68,25,2,COMPLETE
100,3425.7850698655466,2025-07-01 16:03:21.156630,2025-07-01 16:41:56.746184,0 days 00:38:35.589554,10,17,4,13,64,31,2,COMPLETE
101,8301.419070615208,2025-07-01 16:03:21.317783,2025-07-01 16:40:23.378306,0 days 00:37:02.060523,3,20,6,16,90,36,2,COMPLETE
102,-3032.224468370552,2025-07-01 16:03:21.461619,2025-07-01 16:41:42.718735,0 days 00:38:21.257116,12,13,10,7,88,22,1,COMPLETE
103,5135.953439115788,2025-07-01 16:03:21.734708,2025-07-01 16:41:27.351099,0 days 00:38:05.616391,0,19,5,12,63,15,3,COMPLETE
104,4056.5141135483727,2025-07-01 16:03:21.914906,2025-07-01 16:41:16.688695,0 days 00:37:54.773789,4,23,7,15,82,38,2,COMPLETE
105,5711.545006397717,2025-07-01 16:03:22.081963,2025-07-01 16:39:57.664777,0 days 00:36:35.582814,3,16,7,17,75,27,3,COMPLETE
106,1294.6335409886196,2025-07-01 16:03:22.281794,2025-07-01 16:39:48.507804,0 days 00:36:26.226010,1,21,5,7,73,27,1,COMPLETE
107,4565.003231732084,2025-07-01 16:03:22.587776,2025-07-01 16:40:05.656286,0 days 00:36:43.068510,7,18,5,18,65,38,4,COMPLETE
108,3325.7392368461624,2025-07-01 16:03:23.326089,2025-07-01 16:44:53.921732,0 days 00:41:30.595643,3,26,2,17,65,24,2,COMPLETE
109,2746.294255292496,2025-07-01 16:03:23.378269,2025-07-01 16:41:54.682452,0 days 00:38:31.304183,12,20,3,10,73,37,5,COMPLETE
110,4283.890057216393,2025-07-01 16:03:23.718616,2025-07-01 16:45:32.117645,0 days 00:42:08.399029,24,30,7,8,75,14,3,COMPLETE
111,5552.20729349754,2025-07-01 16:03:23.862776,2025-07-01 16:41:18.452640,0 days 00:37:54.589864,19,19,4,17,85,38,5,COMPLETE
112,3153.5821124743143,2025-07-01 16:03:23.989549,2025-07-01 16:42:16.108821,0 days 00:38:52.119272,2,10,3,11,80,30,3,COMPLETE
113,7237.039616124471,2025-07-01 16:03:24.250912,2025-07-01 16:43:56.509258,0 days 00:40:32.258346,11,28,10,5,77,20,3,COMPLETE
114,2697.6845391226107,2025-07-01 16:03:24.576414,2025-07-01 16:43:06.734965,0 days 00:39:42.158551,14,29,5,7,61,40,5,COMPLETE
115,4060.6226371088887,2025-07-01 16:03:24.908024,2025-07-01 16:43:05.894986,0 days 00:39:40.986962,7,8,8,10,84,12,2,COMPLETE
116,4600.357416175575,2025-07-01 16:03:25.055946,2025-07-01 16:44:46.257352,0 days 00:41:21.201406,11,9,9,13,90,40,5,COMPLETE
117,8384.485536114302,2025-07-01 16:03:25.288204,2025-07-01 16:41:58.664852,0 days 00:38:33.376648,0,9,5,12,69,11,5,COMPLETE
118,3378.356636543861,2025-07-01 16:03:25.521603,2025-07-01 16:43:39.580322,0 days 00:40:14.058719,21,8,10,8,60,11,5,COMPLETE
119,1727.617811850143,2025-07-01 16:03:25.787359,2025-07-01 16:43:32.069135,0 days 00:40:06.281776,11,23,8,18,84,27,4,COMPLETE
120,5349.636708731116,2025-07-01 16:03:26.245618,2025-07-01 16:45:52.760213,0 days 00:42:26.514595,22,6,7,17,65,16,1,COMPLETE
121,4009.65039258831,2025-07-01 16:03:26.445878,2025-07-01 16:44:44.020888,0 days 00:41:17.575010,16,26,7,12,64,31,2,COMPLETE
122,4347.456033455801,2025-07-01 16:03:26.500502,2025-07-01 16:41:46.668193,0 days 00:38:20.167691,3,16,9,16,65,32,4,COMPLETE
123,5211.264733751219,2025-07-01 16:03:26.758732,2025-07-01 16:47:42.705990,0 days 00:44:15.947258,8,28,3,19,77,33,2,COMPLETE
124,4998.065072681757,2025-07-01 16:03:27.042175,2025-07-01 16:44:55.526391,0 days 00:41:28.484216,17,26,10,15,61,31,5,COMPLETE
125,4537.891349742047,2025-07-01 16:03:27.201934,2025-07-01 16:46:33.156652,0 days 00:43:05.954718,4,8,2,19,81,30,3,COMPLETE
126,4529.497127800869,2025-07-01 16:03:27.335346,2025-07-01 16:46:50.376242,0 days 00:43:23.040896,9,12,2,15,83,17,2,COMPLETE
127,2136.1675193490664,2025-07-01 16:03:27.356800,2025-07-01 16:46:10.279464,0 days 00:42:42.922664,2,25,3,19,83,13,5,COMPLETE
128,4899.194482317509,2025-07-01 16:03:27.521794,2025-07-01 16:43:01.239869,0 days 00:39:33.718075,30,18,3,20,84,31,2,COMPLETE
129,8643.869231183198,2025-07-01 16:03:27.664878,2025-07-01 16:47:28.395155,0 days 00:44:00.730277,0,26,9,16,75,13,5,COMPLETE
130,3347.920477780095,2025-07-01 16:03:27.711231,2025-07-01 16:47:14.869801,0 days 00:43:47.158570,14,22,5,11,83,32,3,COMPLETE
131,3533.012621058202,2025-07-01 16:03:28.174008,2025-07-01 16:48:15.992039,0 days 00:44:47.818031,19,28,2,10,71,24,2,COMPLETE
132,3700.9481579931235,2025-07-01 16:03:28.315205,2025-07-01 16:46:48.261631,0 days 00:43:19.946426,6,22,5,17,66,20,5,COMPLETE
133,2444.037480931449,2025-07-01 16:03:28.646728,2025-07-01 16:49:17.542798,0 days 00:45:48.896070,16,8,4,7,75,33,1,COMPLETE
134,2299.356347871544,2025-07-01 16:03:28.703022,2025-07-01 16:46:56.408155,0 days 00:43:27.705133,12,11,8,6,81,25,3,COMPLETE
135,5228.240250955284,2025-07-01 16:03:28.957035,2025-07-01 16:50:01.593871,0 days 00:46:32.636836,30,25,7,20,73,30,2,COMPLETE
