number,value,datetime_start,datetime_complete,duration,params_rsi_oversold,params_rsi_period,params_stoch_d_period,params_stoch_k_period,params_stoch_overbought,params_stoch_oversold,params_stoch_smooth_period,state
359,4450.60480870872,2025-07-01 16:04:27.570388,2025-07-01 16:58:33.649633,0 days 00:54:06.079245,24,6,9,10,66,15,5,COMPLETE
360,4155.960496942833,2025-07-01 16:04:27.633613,2025-07-01 16:58:51.008102,0 days 00:54:23.374489,12,14,5,18,73,24,1,COMPLETE
361,3228.2842980897694,2025-07-01 16:04:28.484656,2025-07-01 16:58:59.808010,0 days 00:54:31.323354,30,17,2,14,85,15,3,COMPLETE
362,4178.013303608237,2025-07-01 16:04:28.582104,2025-07-01 16:57:37.895203,0 days 00:53:09.313099,30,8,5,18,80,24,1,COMPLETE
363,5483.123409622654,2025-07-01 16:04:28.928043,2025-07-01 16:59:27.893429,0 days 00:54:58.965386,12,25,10,14,75,27,2,COMPLETE
364,-18.681342274409644,2025-07-01 16:04:29.104703,2025-07-01 16:58:43.899495,0 days 00:54:14.794792,2,30,8,5,90,17,2,COMPLETE
365,5439.89724075211,2025-07-01 16:04:29.157711,2025-07-01 16:58:39.060594,0 days 00:54:09.902883,25,7,9,21,81,17,2,COMPLETE
366,18201.83369230137,2025-07-01 16:04:29.462140,2025-07-01 16:59:10.737337,0 days 00:54:41.275197,19,15,7,18,90,26,1,COMPLETE
367,3635.4920985373246,2025-07-01 16:04:29.540031,2025-07-01 16:59:30.438049,0 days 00:55:00.898018,16,11,7,13,61,29,1,COMPLETE
368,2116.0358112028043,2025-07-01 16:04:29.547584,2025-07-01 16:59:00.054155,0 days 00:54:30.506571,10,25,4,5,84,39,2,COMPLETE
369,2969.491626890029,2025-07-01 16:04:29.680311,2025-07-01 16:59:58.056801,0 days 00:55:28.376490,8,10,2,12,68,24,1,COMPLETE
370,5545.522883766162,2025-07-01 16:04:29.921294,2025-07-01 16:59:00.683774,0 days 00:54:30.762480,3,25,5,11,74,22,3,COMPLETE
371,4344.177218818939,2025-07-01 16:04:29.967641,2025-07-01 16:59:31.877694,0 days 00:55:01.910053,27,22,8,6,83,32,3,COMPLETE
372,7244.506019429587,2025-07-01 16:04:30.298086,2025-07-01 16:59:44.389587,0 days 00:55:14.091501,17,19,5,13,67,10,3,COMPLETE
373,4252.351141286545,2025-07-01 16:04:30.368511,2025-07-01 16:59:05.526154,0 days 00:54:35.157643,30,6,10,16,66,30,4,COMPLETE
374,5047.776303201712,2025-07-01 16:04:30.510421,2025-07-01 16:57:51.083220,0 days 00:53:20.572799,16,15,4,9,86,22,5,COMPLETE
375,5705.826733335391,2025-07-01 16:04:30.758248,2025-07-01 16:59:39.716267,0 days 00:55:08.958019,6,7,4,10,70,10,1,COMPLETE
376,2688.8901706823144,2025-07-01 16:04:30.784024,2025-07-01 16:59:35.741473,0 days 00:55:04.957449,6,15,2,11,65,24,1,COMPLETE
377,2253.4661873676796,2025-07-01 16:04:30.835683,2025-07-01 16:59:00.735241,0 days 00:54:29.899558,8,30,5,8,86,21,5,COMPLETE
378,4099.79233004378,2025-07-01 16:04:30.988015,2025-07-01 16:59:34.546681,0 days 00:55:03.558666,10,19,5,21,85,23,3,COMPLETE
379,-4486.55288411734,2025-07-01 16:04:31.267378,2025-07-01 16:59:02.707695,0 days 00:54:31.440317,26,6,10,13,90,22,4,COMPLETE
380,4669.597268914991,2025-07-01 16:04:31.409398,2025-07-01 16:58:58.872239,0 days 00:54:27.462841,13,28,4,7,60,16,5,COMPLETE
381,3542.2551349182395,2025-07-01 16:04:31.602777,2025-07-01 16:59:30.658197,0 days 00:54:59.055420,19,26,6,7,67,29,3,COMPLETE
382,-1361.2625659569367,2025-07-01 16:04:31.656019,2025-07-01 16:59:23.891207,0 days 00:54:52.235188,7,15,10,13,89,27,1,COMPLETE
383,3853.849570131184,2025-07-01 16:04:31.745710,2025-07-01 16:59:13.368103,0 days 00:54:41.622393,26,23,9,20,61,39,4,COMPLETE
384,3826.9175766974768,2025-07-01 16:04:31.892533,2025-07-01 16:59:06.657177,0 days 00:54:34.764644,22,24,4,15,64,24,3,COMPLETE
385,4516.273697637571,2025-07-01 16:04:31.949083,2025-07-01 16:59:13.804482,0 days 00:54:41.855399,7,11,7,10,73,36,3,COMPLETE
386,10490.893886540314,2025-07-01 16:04:32.024399,2025-07-01 16:59:09.723733,0 days 00:54:37.699334,0,27,4,17,74,12,2,COMPLETE
387,4585.534459700193,2025-07-01 16:04:32.125318,2025-07-01 16:59:50.915160,0 days 00:55:18.789842,22,24,5,16,88,10,2,COMPLETE
388,5124.35365643119,2025-07-01 16:04:32.176810,2025-07-01 16:58:49.651591,0 days 00:54:17.474781,29,9,2,21,78,30,1,COMPLETE
389,3324.901226896003,2025-07-01 16:04:32.210158,2025-07-01 16:59:55.330494,0 days 00:55:23.120336,21,13,4,9,65,34,1,COMPLETE
390,3966.8412820356925,2025-07-01 16:04:32.464773,2025-07-01 16:59:32.978175,0 days 00:55:00.513402,20,17,6,5,71,35,5,COMPLETE
391,5849.007206533759,2025-07-01 16:04:32.479004,2025-07-01 16:58:51.484473,0 days 00:54:19.005469,28,14,5,5,71,12,3,COMPLETE
392,6777.313981491263,2025-07-01 16:04:32.522968,2025-07-01 16:59:19.293476,0 days 00:54:46.770508,28,6,3,20,86,22,1,COMPLETE
393,6196.924096946608,2025-07-01 16:04:32.539394,2025-07-01 16:59:06.222801,0 days 00:54:33.683407,21,15,7,17,83,26,1,COMPLETE
394,4345.118199315301,2025-07-01 16:04:32.699804,2025-07-01 16:11:45.860268,0 days 00:07:13.160464,15,6,10,14,82,39,3,COMPLETE
395,5646.7807495992165,2025-07-01 16:04:32.764640,2025-07-01 17:00:24.996451,0 days 00:55:52.231811,18,6,10,14,80,40,3,COMPLETE
396,4980.086630777089,2025-07-01 16:04:32.765514,2025-07-01 16:34:11.345355,0 days 00:29:38.579841,18,6,10,14,81,36,3,COMPLETE
397,3816.3886489043834,2025-07-01 16:04:32.881013,2025-07-01 16:13:00.976191,0 days 00:08:28.095178,18,5,10,15,81,40,3,COMPLETE
398,4930.750765914072,2025-07-01 16:04:32.899584,2025-07-01 16:59:31.002828,0 days 00:54:58.103244,18,5,10,14,81,40,3,COMPLETE
399,4266.361414583237,2025-07-01 16:04:32.911206,2025-07-01 16:55:45.876802,0 days 00:51:12.965596,19,6,10,15,81,36,3,COMPLETE
400,6303.369522704456,2025-07-01 16:04:33.157777,2025-07-01 16:43:18.675145,0 days 00:38:45.517368,18,5,10,14,80,39,3,COMPLETE
401,3816.3886489043834,2025-07-01 16:04:33.185197,2025-07-01 16:59:36.617561,0 days 00:55:03.432364,18,5,10,15,81,40,3,COMPLETE
402,4804.700985209781,2025-07-01 16:04:33.230950,2025-07-01 17:01:03.569745,0 days 00:56:30.338795,19,5,10,14,81,39,3,COMPLETE
403,5697.455604084809,2025-07-01 16:04:33.243744,2025-07-01 17:03:12.762699,0 days 00:58:39.518955,15,5,10,21,81,37,3,COMPLETE
404,6168.522673815776,2025-07-01 16:04:33.277310,2025-07-01 17:01:20.934276,0 days 00:56:47.656966,18,5,10,17,81,40,3,COMPLETE
405,4211.889402756768,2025-07-01 16:04:33.299273,2025-07-01 17:00:29.742741,0 days 00:55:56.443468,20,6,10,15,80,40,3,COMPLETE
406,4490.664996591595,2025-07-01 16:04:33.314443,2025-07-01 17:00:28.424202,0 days 00:55:55.109759,19,7,10,14,81,39,3,COMPLETE
407,4799.990206107669,2025-07-01 16:04:33.338241,2025-07-01 17:00:28.570390,0 days 00:55:55.232149,18,7,10,14,81,40,1,COMPLETE
408,3228.0638180620354,2025-07-01 16:04:33.633241,2025-07-01 17:06:54.285037,0 days 01:02:20.651796,19,6,10,15,81,39,3,COMPLETE
409,4930.750765914072,2025-07-01 16:04:33.648796,2025-07-01 16:59:56.822842,0 days 00:55:23.174046,18,5,10,14,81,40,3,COMPLETE
410,5052.323337197306,2025-07-01 16:04:33.717077,2025-07-01 16:21:19.674531,0 days 00:16:45.957454,17,5,10,14,80,40,3,COMPLETE
411,4784.300900885775,2025-07-01 16:04:33.851031,2025-07-01 17:10:07.329565,0 days 01:05:33.478534,20,7,10,14,81,39,3,COMPLETE
412,4825.60070326441,2025-07-01 16:04:33.931387,2025-07-01 17:18:32.790659,0 days 01:13:58.859272,18,6,10,14,81,37,3,COMPLETE
413,5179.765531796129,2025-07-01 16:04:34.047818,2025-07-01 17:06:24.939291,0 days 01:01:50.891473,18,5,10,14,81,39,3,COMPLETE
414,5300.867283188556,2025-07-01 16:04:34.104831,2025-07-01 17:04:23.311562,0 days 00:59:49.206731,18,8,10,14,80,40,3,COMPLETE
415,4930.750765914072,2025-07-01 16:04:34.106261,2025-07-01 17:13:50.088775,0 days 01:09:15.982514,18,5,10,14,81,40,3,COMPLETE
416,6046.5959328301415,2025-07-01 16:04:34.120090,2025-07-01 17:00:09.465309,0 days 00:55:35.345219,20,5,10,14,80,37,3,COMPLETE
417,3816.3886489043834,2025-07-01 16:04:34.134927,2025-07-01 16:59:58.314345,0 days 00:55:24.179418,18,5,10,15,81,40,3,COMPLETE
418,5410.915111249862,2025-07-01 16:04:34.195187,2025-07-01 17:00:11.768640,0 days 00:55:37.573453,21,5,10,14,81,35,3,COMPLETE
419,5305.1177771104885,2025-07-01 16:04:34.318095,2025-07-01 17:14:07.486750,0 days 01:09:33.168655,18,5,10,14,82,40,3,COMPLETE
420,5586.855634961594,2025-07-01 16:04:34.341156,2025-07-01 17:05:16.727971,0 days 01:00:42.386815,18,5,10,14,81,36,3,COMPLETE
421,4564.473276174989,2025-07-01 16:04:34.350546,2025-07-01 17:17:18.139292,0 days 01:12:43.788746,19,9,10,14,81,39,3,COMPLETE
422,420.2172720971157,2025-07-01 16:04:34.357350,2025-07-01 17:15:48.374151,0 days 01:11:14.016801,19,6,10,14,90,38,3,COMPLETE
423,4912.806587179552,2025-07-01 16:04:34.399071,2025-07-01 17:00:24.111024,0 days 00:55:49.711953,18,5,10,15,81,38,3,COMPLETE
424,3821.690030816677,2025-07-01 16:04:34.447468,2025-07-01 17:03:02.617586,0 days 00:58:28.170118,19,7,10,15,81,37,3,COMPLETE
425,5088.120520333283,2025-07-01 16:04:34.547339,2025-07-01 17:18:05.804697,0 days 01:13:31.257358,18,9,10,14,80,40,3,COMPLETE
426,10001.91558546618,2025-07-01 16:04:34.573900,2025-07-01 17:11:33.861715,0 days 01:06:59.287815,18,5,10,21,85,39,1,COMPLETE
427,4491.269224802747,2025-07-01 16:04:34.624641,2025-07-01 17:11:53.856987,0 days 01:07:19.232346,18,6,10,21,86,38,1,COMPLETE
428,4021.489090730136,2025-07-01 16:04:34.692552,2025-07-01 17:03:37.544157,0 days 00:59:02.851605,18,6,10,21,86,40,1,COMPLETE
429,9634.099273323416,2025-07-01 16:04:34.898988,2025-07-01 17:11:28.283741,0 days 01:06:53.384753,19,5,10,21,87,37,1,COMPLETE
430,5120.775946552018,2025-07-01 16:04:35.011696,2025-07-01 17:16:40.693317,0 days 01:12:05.681621,17,8,10,21,85,39,1,COMPLETE
431,5649.845766109376,2025-07-01 16:04:35.074784,2025-07-01 17:00:43.259038,0 days 00:56:08.184254,18,7,10,20,85,37,1,COMPLETE
432,7304.184837844479,2025-07-01 16:04:35.196419,2025-07-01 17:19:00.676834,0 days 01:14:25.480415,18,5,10,21,86,40,1,COMPLETE
433,5859.863033315158,2025-07-01 16:04:35.351581,2025-07-01 17:13:40.848674,0 days 01:09:05.497093,18,6,10,20,85,39,1,COMPLETE
434,9684.87159055782,2025-07-01 16:04:35.488081,2025-07-01 17:01:34.742994,0 days 00:56:59.254913,17,5,10,21,85,40,1,COMPLETE
435,6360.963462042062,2025-07-01 16:04:35.562803,2025-07-01 17:06:54.533044,0 days 01:02:18.970241,18,7,10,21,85,40,1,COMPLETE
436,9729.943703875142,2025-07-01 16:04:35.613651,2025-07-01 17:04:31.101531,0 days 00:59:55.487880,18,5,10,21,85,40,1,COMPLETE
437,9087.715773570075,2025-07-01 16:04:35.662928,2025-07-01 16:59:38.206936,0 days 00:55:02.544008,17,5,10,20,86,39,1,COMPLETE
438,8434.622627681734,2025-07-01 16:04:35.674502,2025-07-01 17:07:52.935245,0 days 01:03:17.260743,18,6,10,21,85,39,1,COMPLETE
439,8005.088673476514,2025-07-01 16:04:35.758483,2025-07-01 17:14:37.089682,0 days 01:10:01.331199,18,5,10,21,86,38,1,COMPLETE
440,10065.847193572552,2025-07-01 16:04:35.782153,2025-07-01 17:08:52.864240,0 days 01:04:17.082087,18,5,10,21,85,38,1,COMPLETE
441,3901.574065597446,2025-07-01 16:04:35.803100,2025-07-01 17:04:57.171251,0 days 01:00:21.368151,18,7,10,20,86,40,1,COMPLETE
442,9729.943703875142,2025-07-01 16:04:35.838756,2025-07-01 17:09:24.867718,0 days 01:04:49.028962,18,5,10,21,85,40,1,COMPLETE
443,4446.643988731386,2025-07-01 16:04:35.871411,2025-07-01 17:06:46.562703,0 days 01:02:10.691292,18,7,10,21,86,39,1,COMPLETE
444,8302.233376414593,2025-07-01 16:04:35.888742,2025-07-01 17:16:03.946510,0 days 01:11:28.057768,17,6,10,19,85,40,1,COMPLETE
445,9961.787945738934,2025-07-01 16:04:35.891315,2025-07-01 17:14:13.064708,0 days 01:09:37.173393,17,6,10,19,86,40,1,COMPLETE
446,12801.340729704203,2025-07-01 16:04:35.897288,2025-07-01 17:19:22.648637,0 days 01:14:46.751349,18,5,10,19,86,40,1,COMPLETE
447,8373.862282778038,2025-07-01 16:04:35.962075,2025-07-01 17:14:19.289946,0 days 01:09:43.327871,18,6,10,21,85,40,1,COMPLETE
448,6498.40529204554,2025-07-01 16:04:35.993671,2025-07-01 17:20:40.258817,0 days 01:16:04.265146,18,7,10,21,85,39,1,COMPLETE
449,12976.251854551401,2025-07-01 16:04:36.066115,2025-07-01 17:16:30.698344,0 days 01:11:54.632229,18,5,10,21,85,36,1,COMPLETE
450,8434.622627681734,2025-07-01 16:04:36.098541,2025-07-01 17:24:07.569324,0 days 01:19:31.470783,18,6,10,21,85,39,1,COMPLETE
451,7691.312104145591,2025-07-01 16:04:36.115651,2025-07-01 17:08:43.979457,0 days 01:04:07.863806,18,6,10,19,84,38,1,COMPLETE
452,8275.88654112508,2025-07-01 16:04:36.127305,2025-07-01 17:08:52.067488,0 days 01:04:15.940183,16,5,10,21,85,38,1,COMPLETE
453,8373.862282778038,2025-07-01 16:04:36.171664,2025-07-01 17:09:47.978157,0 days 01:05:11.806493,18,6,10,21,85,40,1,COMPLETE
454,8238.895400307822,2025-07-01 16:04:36.204072,2025-07-01 17:16:14.637595,0 days 01:11:38.433523,19,6,10,21,85,38,1,COMPLETE
455,3912.078079946321,2025-07-01 16:04:36.210109,2025-07-01 17:02:32.406353,0 days 00:57:56.196244,18,8,10,20,85,38,1,COMPLETE
456,9729.943703875142,2025-07-01 16:04:36.337711,2025-07-01 17:02:56.525958,0 days 00:58:20.188247,18,5,10,21,85,40,1,COMPLETE
457,6360.963462042062,2025-07-01 16:04:36.370286,2025-07-01 17:02:19.740976,0 days 00:57:43.370690,18,7,10,21,85,40,1,COMPLETE
458,8373.862282778038,2025-07-01 16:04:36.424064,2025-07-01 18:08:29.900027,0 days 02:03:53.475963,18,6,10,21,85,40,1,COMPLETE
459,6679.254507334332,2025-07-01 16:04:36.439480,2025-07-01 17:17:04.668417,0 days 01:12:28.228937,17,6,10,20,85,40,1,COMPLETE
460,10459.023653987122,2025-07-01 16:04:36.463082,2025-07-01 18:07:44.699519,0 days 02:03:08.236437,18,5,10,19,85,40,1,COMPLETE
461,7339.2218959780075,2025-07-01 16:04:36.481475,2025-07-01 17:05:40.452335,0 days 01:01:03.970860,17,5,10,20,85,40,1,COMPLETE
462,13809.595503978746,2025-07-01 16:04:36.610436,2025-07-01 17:16:03.502839,0 days 01:11:26.892403,18,5,10,21,85,21,1,COMPLETE
463,6433.247878931832,2025-07-01 16:04:36.638639,2025-07-01 17:11:05.588601,0 days 01:06:28.949962,18,5,10,21,87,40,1,COMPLETE
464,12842.646196718846,2025-07-01 16:04:36.692388,2025-07-01 17:10:40.641969,0 days 01:06:03.949581,19,5,10,21,85,40,1,COMPLETE
465,9474.43380277823,2025-07-01 16:04:36.743858,2025-07-01 17:08:28.316221,0 days 01:03:51.572363,19,5,10,21,86,39,1,COMPLETE
466,12302.474427780893,2025-07-01 16:04:36.797739,2025-07-01 17:03:10.020314,0 days 00:58:33.222575,18,5,10,21,85,37,1,COMPLETE
467,8838.521258245883,2025-07-01 16:04:36.805004,2025-07-01 17:31:44.339428,0 days 01:27:07.534424,18,5,10,19,85,39,1,COMPLETE
468,5735.253056419286,2025-07-01 16:04:36.940422,2025-07-01 17:09:27.417661,0 days 01:04:50.477239,17,10,10,21,85,39,1,COMPLETE
469,6052.199330220043,2025-07-01 16:04:36.980412,2025-07-01 17:57:30.458260,0 days 01:52:53.477848,18,7,10,21,85,38,1,COMPLETE
470,4021.489090730136,2025-07-01 16:04:36.987104,2025-07-01 17:24:01.298776,0 days 01:19:24.311672,18,6,10,21,86,40,1,COMPLETE
471,8161.501758268067,2025-07-01 16:04:37.015812,2025-07-01 17:05:29.842523,0 days 01:00:52.826711,17,5,9,20,85,39,1,COMPLETE
472,6167.184423917712,2025-07-01 16:04:37.027307,2025-07-01 17:33:34.262754,0 days 01:28:57.235447,18,9,10,21,85,38,1,COMPLETE
473,2511.5306661024806,2025-07-01 16:04:37.044168,2025-07-01 17:16:16.599756,0 days 01:11:39.555588,18,9,10,20,85,40,1,COMPLETE
474,6360.963462042062,2025-07-01 16:04:37.084686,2025-07-01 17:17:28.691058,0 days 01:12:51.606372,18,7,10,21,85,40,1,COMPLETE
475,12855.983119076385,2025-07-01 16:04:37.176437,2025-07-01 17:00:34.253868,0 days 00:55:57.077431,19,5,10,21,85,39,1,COMPLETE
476,7150.604235292671,2025-07-01 16:04:37.203679,2025-07-01 17:23:29.672317,0 days 01:18:52.468638,18,8,9,21,85,40,1,COMPLETE
477,9168.281370545086,2025-07-01 16:04:37.387082,2025-07-01 17:00:37.656490,0 days 00:56:00.269408,18,6,10,21,85,36,1,COMPLETE
478,11149.000799151876,2025-07-01 16:04:37.515000,2025-07-01 17:35:24.527891,0 days 01:30:47.012891,17,5,9,21,85,40,1,COMPLETE
479,9046.260167682298,2025-07-01 16:04:37.542359,2025-07-01 17:11:13.474295,0 days 01:06:35.931936,17,5,10,21,85,38,1,COMPLETE
480,7643.430189519469,2025-07-01 16:04:37.580683,2025-07-01 17:03:48.813254,0 days 00:59:11.232571,17,6,10,21,87,36,1,COMPLETE
481,6109.861541262401,2025-07-01 16:04:37.589456,2025-07-01 17:09:52.696575,0 days 01:05:15.107119,18,10,10,21,85,40,1,COMPLETE
482,10065.847193572552,2025-07-01 16:04:37.643127,2025-07-01 17:17:45.420730,0 days 01:13:07.777603,18,5,10,21,85,38,1,COMPLETE
483,6794.7146732574765,2025-07-01 16:04:37.668997,2025-07-01 17:24:47.433080,0 days 01:20:09.764083,17,7,10,21,85,37,1,COMPLETE
484,8785.882670306519,2025-07-01 16:04:37.697920,2025-07-01 17:01:04.885505,0 days 00:56:27.187585,16,5,10,21,85,40,1,COMPLETE
485,5947.423823824003,2025-07-01 16:04:37.868325,2025-07-01 18:00:17.748147,0 days 01:55:39.879822,18,8,10,21,85,38,1,COMPLETE
486,7735.351779196824,2025-07-01 16:04:37.964464,2025-07-01 17:07:48.740354,0 days 01:03:10.775890,18,6,9,21,86,40,1,COMPLETE
487,9474.43380277823,2025-07-01 16:04:38.028441,2025-07-01 17:11:28.004150,0 days 01:06:49.975709,19,5,10,21,86,39,1,COMPLETE
488,9729.943703875142,2025-07-01 16:04:38.077005,2025-07-01 17:01:26.710797,0 days 00:56:48.633792,18,5,10,21,85,40,1,COMPLETE
489,4685.518418246114,2025-07-01 16:04:38.126373,2025-07-01 17:18:20.901397,0 days 01:13:42.775024,18,7,10,21,84,40,1,COMPLETE
490,5049.152934834554,2025-07-01 16:04:38.275368,2025-07-01 16:59:20.874319,0 days 00:54:42.598951,17,8,10,21,85,40,1,COMPLETE
491,13809.595503978746,2025-07-01 16:04:38.349741,2025-07-01 17:42:08.091157,0 days 01:37:29.741416,18,5,10,21,85,21,1,COMPLETE
492,6244.496581781017,2025-07-01 16:04:38.419283,2025-07-01 17:12:16.752102,0 days 01:07:38.332819,18,6,10,20,85,40,1,COMPLETE
493,6127.807391779277,2025-07-01 16:04:38.432498,2025-07-01 17:07:43.957689,0 days 01:03:05.525191,19,10,10,21,85,39,1,COMPLETE
494,5120.775946552018,2025-07-01 16:04:38.464763,2025-07-01 17:04:09.308615,0 days 00:59:30.843852,17,8,10,21,85,39,1,COMPLETE
495,10065.847193572552,2025-07-01 16:04:38.659401,2025-07-01 17:07:33.273718,0 days 01:02:54.614317,18,5,10,21,85,38,1,COMPLETE
496,9684.87159055782,2025-07-01 16:04:38.915029,2025-07-01 17:26:54.393644,0 days 01:22:15.478615,17,5,10,21,85,40,1,COMPLETE
497,5609.339823978535,2025-07-01 16:04:39.190791,2025-07-01 17:08:39.647639,0 days 01:04:00.456848,17,7,10,21,85,38,1,COMPLETE
498,12855.983119076385,2025-07-01 16:04:39.325892,2025-07-01 17:10:15.424503,0 days 01:05:36.098611,19,5,10,21,85,39,1,COMPLETE
499,3203.2331535098856,2025-07-01 16:04:39.344717,2025-07-01 17:06:56.361049,0 days 01:02:17.016332,18,8,10,20,87,38,1,COMPLETE
500,5071.237868786295,2025-07-01 16:04:39.466766,2025-07-01 17:50:49.687582,0 days 01:46:10.220816,17,7,10,21,85,40,1,COMPLETE
501,8571.437516219545,2025-07-01 16:04:39.573415,2025-07-01 17:30:02.256652,0 days 01:25:22.683237,17,6,10,21,85,39,1,COMPLETE
502,9046.260167682298,2025-07-01 16:04:39.586781,2025-07-01 17:29:23.040220,0 days 01:24:43.453439,17,5,10,21,85,38,1,COMPLETE
503,12302.474427780893,2025-07-01 16:04:39.697990,2025-07-01 17:08:06.474796,0 days 01:03:26.776806,18,5,10,21,85,37,1,COMPLETE
504,8682.680901850714,2025-07-01 16:04:39.811371,2025-07-01 17:04:40.224961,0 days 01:00:00.413590,19,6,10,21,85,39,1,COMPLETE
505,5859.863033315158,2025-07-01 16:04:39.945670,2025-07-01 17:19:02.489716,0 days 01:14:22.544046,18,6,10,20,85,39,1,COMPLETE
506,8216.764525447445,2025-07-01 16:04:40.068339,2025-07-01 17:02:46.194490,0 days 00:58:06.126151,16,6,10,21,85,37,1,COMPLETE
507,826.6562723020907,2025-07-01 16:04:40.108719,2025-07-01 17:08:46.323618,0 days 01:04:06.214899,20,10,10,21,87,40,1,COMPLETE
508,5926.433362741151,2025-07-01 16:04:40.173016,2025-07-01 17:15:59.151738,0 days 01:11:18.978722,19,6,10,21,86,39,1,COMPLETE
509,2511.5306661024806,2025-07-01 16:04:40.236159,2025-07-01 17:32:12.941533,0 days 01:27:32.705374,18,9,10,20,85,40,1,COMPLETE
510,5978.193679748003,2025-07-01 16:04:40.415270,2025-07-01 17:15:22.542979,0 days 01:10:42.127709,18,6,10,20,86,38,1,COMPLETE
511,3494.0434025425093,2025-07-01 16:04:40.488405,2025-07-01 17:15:34.125481,0 days 01:10:53.637076,18,6,10,21,87,38,1,COMPLETE
512,11141.346281258162,2025-07-01 16:04:40.640207,2025-07-01 17:08:45.800829,0 days 01:04:05.160622,18,5,9,21,85,21,1,COMPLETE
513,8238.895400307822,2025-07-01 16:04:40.761084,2025-07-01 17:10:29.615723,0 days 01:05:48.854639,19,6,10,21,85,38,1,COMPLETE
514,9967.393266372448,2025-07-01 16:04:41.085645,2025-07-01 17:03:00.809834,0 days 00:58:19.724189,18,7,9,21,85,36,1,COMPLETE
515,6092.5571496162165,2025-07-01 16:04:41.167533,2025-07-01 17:06:03.448657,0 days 01:01:22.281124,19,11,10,21,85,38,1,COMPLETE
516,9684.87159055782,2025-07-01 16:04:41.298858,2025-07-01 17:02:22.203931,0 days 00:57:40.905073,17,5,10,21,85,40,1,COMPLETE
517,6292.292016911488,2025-07-01 16:04:41.365979,2025-07-01 17:56:54.199154,0 days 01:52:12.833175,17,5,10,21,86,40,1,COMPLETE
518,5537.760949240556,2025-07-01 16:04:41.492841,2025-07-01 17:10:24.583956,0 days 01:05:43.091115,18,6,9,21,86,38,1,COMPLETE
519,9173.714662746264,2025-07-01 16:04:41.572411,2025-07-01 17:10:15.452367,0 days 01:05:33.879956,16,5,10,21,85,36,1,COMPLETE
520,8076.791030301283,2025-07-01 16:04:41.702037,2025-07-01 17:09:57.556435,0 days 01:05:15.854398,18,6,10,18,85,40,1,COMPLETE
521,10177.113894471344,2025-07-01 16:04:41.827801,2025-07-01 17:39:50.717751,0 days 01:35:08.889950,17,5,10,21,86,20,3,COMPLETE
522,3507.9390574213085,2025-07-01 16:04:42.040724,2025-07-01 17:56:53.345812,0 days 01:52:11.305088,17,6,10,21,85,18,3,COMPLETE
523,7696.41087913941,2025-07-01 16:04:42.178845,2025-07-01 17:06:19.908383,0 days 01:01:37.729538,17,5,10,21,85,20,3,COMPLETE
524,5178.51074017216,2025-07-01 16:04:42.337962,2025-07-01 17:04:08.979965,0 days 00:59:26.642003,17,7,10,21,85,20,3,COMPLETE
525,3121.3786559061173,2025-07-01 16:04:42.404943,2025-07-01 17:25:27.637279,0 days 01:20:45.232336,17,6,10,20,85,20,3,COMPLETE
526,5225.524296618339,2025-07-01 16:04:42.419126,2025-07-01 17:17:21.497448,0 days 01:12:39.078322,17,9,10,21,88,20,3,COMPLETE
527,5273.768300217982,2025-07-01 16:04:42.446438,2025-07-01 17:27:07.150412,0 days 01:22:24.703974,17,7,10,21,85,19,3,COMPLETE
528,7112.849148202169,2025-07-01 16:04:42.452806,2025-07-01 17:16:42.261642,0 days 01:11:59.808836,18,5,10,20,85,21,3,COMPLETE
529,3624.5948587371513,2025-07-01 16:04:42.521401,2025-07-01 17:24:09.415127,0 days 01:19:26.893726,17,10,10,21,85,20,3,COMPLETE
530,4319.437330183935,2025-07-01 16:04:42.544233,2025-07-01 18:00:44.235787,0 days 01:56:01.691554,16,7,10,20,85,19,3,COMPLETE
531,5015.393119512118,2025-07-01 16:04:42.550342,2025-07-01 17:19:54.999350,0 days 01:15:12.449008,16,5,10,20,85,20,3,COMPLETE
532,4901.605368795963,2025-07-01 16:04:42.556288,2025-07-01 17:12:22.550823,0 days 01:07:39.994535,17,8,10,21,85,20,3,COMPLETE
533,5107.001633020137,2025-07-01 16:04:42.642892,2025-07-01 17:19:00.902209,0 days 01:14:18.259317,16,7,10,21,85,20,3,COMPLETE
534,7696.41087913941,2025-07-01 16:04:42.676682,2025-07-01 17:27:25.313661,0 days 01:22:42.636979,17,5,10,21,85,20,3,COMPLETE
535,4327.328629444986,2025-07-01 16:04:42.765293,2025-07-01 17:07:54.264706,0 days 01:03:11.499413,17,6,9,20,85,20,3,COMPLETE
536,7698.919633808361,2025-07-01 16:04:42.856555,2025-07-01 17:19:40.600084,0 days 01:14:57.743529,18,6,10,20,86,35,3,COMPLETE
537,7410.812590627522,2025-07-01 16:04:42.921412,2025-07-01 17:13:18.742447,0 days 01:08:35.821035,17,5,10,20,85,20,3,COMPLETE
538,5722.910915759083,2025-07-01 16:04:43.420861,2025-07-01 17:52:44.165797,0 days 01:48:00.744936,17,5,9,21,85,20,3,COMPLETE
539,5253.263346365517,2025-07-01 16:04:43.429913,2025-07-01 17:20:25.685410,0 days 01:15:42.255497,18,8,10,21,85,21,3,COMPLETE
540,10406.980753618021,2025-07-01 16:04:43.464113,2025-07-01 17:20:08.850507,0 days 01:15:25.386394,17,5,10,21,86,21,3,COMPLETE
