number,value,datetime_start,datetime_complete,duration,params_atr_multiplier,params_atr_period,params_ema_period,state
57,933.5933545457743,2025-08-03 22:51:35.392712,2025-08-03 22:51:58.594079,0 days 00:00:23.201367,3.526304704898149,35,95,COMPLETE
58,3024.9877633138153,2025-08-03 22:51:35.396761,2025-08-03 22:51:47.098638,0 days 00:00:11.701877,3.222559238707133,13,28,COMPLETE
59,966.7528336734066,2025-08-03 22:51:35.398034,2025-08-03 22:51:47.531539,0 days 00:00:12.133505,2.7896491433607102,9,62,COMPLETE
60,206.85255679487923,2025-08-03 22:51:35.400660,2025-08-03 22:51:59.792420,0 days 00:00:24.391760,3.2409578027619066,44,61,COMPLETE
61,1689.8437367912038,2025-08-03 22:51:35.407409,2025-08-03 22:51:49.396709,0 days 00:00:13.989300,0.759045547981303,11,33,COMPLETE
62,1125.163973666627,2025-08-03 22:51:35.408922,2025-08-03 22:52:02.298502,0 days 00:00:26.889580,3.4849565653543464,36,89,COMPLETE
63,4776.472008785023,2025-08-03 22:51:35.410458,2025-08-03 22:52:01.480509,0 days 00:00:26.070051,4.276421299435384,9,54,COMPLETE
64,12689.092430786573,2025-08-03 22:51:35.411547,2025-08-03 22:52:03.186499,0 days 00:00:27.774952,4.487525585474321,18,22,COMPLETE
65,5969.197944142013,2025-08-03 22:51:35.413366,2025-08-03 22:52:02.965932,0 days 00:00:27.552566,3.844248559200888,21,85,COMPLETE
66,11266.606358863362,2025-08-03 22:51:35.414200,2025-08-03 22:52:02.393137,0 days 00:00:26.978937,1.4679913719324151,19,31,COMPLETE
67,3575.8969038407954,2025-08-03 22:51:35.421318,2025-08-03 22:52:03.861500,0 days 00:00:28.440182,1.9816494788603083,19,74,COMPLETE
68,3541.4039200661887,2025-08-03 22:51:35.422648,2025-08-03 22:52:03.590644,0 days 00:00:28.167996,1.4842650596476332,28,57,COMPLETE
69,1625.365089909617,2025-08-03 22:51:35.423644,2025-08-03 22:52:03.268362,0 days 00:00:27.844718,3.5173703634395643,9,95,COMPLETE
70,64.39874146230255,2025-08-03 22:51:35.425998,2025-08-03 22:52:03.761001,0 days 00:00:28.335003,3.1065607216728615,37,56,COMPLETE
71,2369.493370334294,2025-08-03 22:51:35.432143,2025-08-03 22:52:03.987379,0 days 00:00:28.555236,1.5836041846172355,31,59,COMPLETE
72,-inf,2025-08-03 22:51:35.433405,2025-08-03 22:52:03.453980,0 days 00:00:28.020575,4.154461370185616,47,34,COMPLETE
73,2866.9254502048125,2025-08-03 22:51:35.472040,2025-08-03 22:52:03.738553,0 days 00:00:28.266513,1.331503261070421,18,72,COMPLETE
74,2524.6140021544165,2025-08-03 22:51:35.524069,2025-08-03 22:52:05.029132,0 days 00:00:29.505063,2.271144291794389,15,34,COMPLETE
75,2813.7211097172385,2025-08-03 22:51:35.542727,2025-08-03 22:52:06.873260,0 days 00:00:31.330533,1.5215167819033977,28,65,COMPLETE
76,1868.8542857392113,2025-08-03 22:51:35.576584,2025-08-03 22:52:05.741781,0 days 00:00:30.165197,2.921452827520888,20,71,COMPLETE
77,1971.640380266204,2025-08-03 22:51:35.583310,2025-08-03 22:52:07.768648,0 days 00:00:32.185338,2.3388694468483004,21,20,COMPLETE
78,3345.2406708363087,2025-08-03 22:51:35.601173,2025-08-03 22:52:07.708598,0 days 00:00:32.107425,1.524950566871424,26,68,COMPLETE
79,2766.4517515241146,2025-08-03 22:51:35.608496,2025-08-03 22:52:08.542445,0 days 00:00:32.933949,3.808320505809259,9,70,COMPLETE
80,-48.328204161407314,2025-08-03 22:51:35.722622,2025-08-03 22:52:07.815678,0 days 00:00:32.093056,3.347052851556707,28,74,COMPLETE
81,4222.562993159812,2025-08-03 22:51:35.768777,2025-08-03 22:52:07.228205,0 days 00:00:31.459428,1.384768064380638,23,62,COMPLETE
82,-26.450335395271324,2025-08-03 22:51:35.770703,2025-08-03 22:52:09.149516,0 days 00:00:33.378813,0.5272972120296746,12,91,COMPLETE
83,8116.307124182376,2025-08-03 22:51:35.815017,2025-08-03 22:52:08.669544,0 days 00:00:32.854527,3.6586717046807262,28,33,COMPLETE
84,2832.7327946706555,2025-08-03 22:51:35.897017,2025-08-03 22:52:09.683727,0 days 00:00:33.786710,1.9991631308125326,49,57,COMPLETE
85,2172.34968436721,2025-08-03 22:51:35.950814,2025-08-03 22:52:09.858202,0 days 00:00:33.907388,1.221382948974485,15,74,COMPLETE
86,9853.36909682504,2025-08-03 22:51:35.963818,2025-08-03 22:52:09.762972,0 days 00:00:33.799154,1.993889976933351,7,22,COMPLETE
87,-40.442237497684836,2025-08-03 22:51:35.982493,2025-08-03 22:52:11.617349,0 days 00:00:35.634856,3.8110433832718558,49,72,COMPLETE
88,2165.5410920442723,2025-08-03 22:51:36.027669,2025-08-03 22:52:12.699544,0 days 00:00:36.671875,2.295566034668221,37,21,COMPLETE
89,2874.398449173124,2025-08-03 22:51:36.048825,2025-08-03 22:52:12.258822,0 days 00:00:36.209997,1.4836462321541197,36,63,COMPLETE
90,6105.382594553419,2025-08-03 22:51:36.059223,2025-08-03 22:52:26.204081,0 days 00:00:50.144858,4.243430260006214,30,76,COMPLETE
91,-inf,2025-08-03 22:51:36.065891,2025-08-03 22:52:12.917568,0 days 00:00:36.851677,1.0015989732777233,46,42,COMPLETE
92,538.6912292663768,2025-08-03 22:51:36.079955,2025-08-03 22:52:12.406995,0 days 00:00:36.327040,0.7507763975285395,43,75,COMPLETE
93,3478.4349243112833,2025-08-03 22:51:36.090451,2025-08-03 22:52:13.704542,0 days 00:00:37.614091,4.102385951683502,43,87,COMPLETE
94,3381.581777102919,2025-08-03 22:51:36.091815,2025-08-03 22:52:12.147993,0 days 00:00:36.056178,1.9571511540514033,46,48,COMPLETE
95,1210.4727630199695,2025-08-03 22:51:36.115360,2025-08-03 22:52:13.407201,0 days 00:00:37.291841,1.0818730662148095,9,71,COMPLETE
96,4850.160208943504,2025-08-03 22:51:36.131155,2025-08-03 22:52:13.494911,0 days 00:00:37.363756,1.8413102817595313,40,90,COMPLETE
97,16290.092231772574,2025-08-03 22:51:36.132402,2025-08-03 22:52:15.159402,0 days 00:00:39.027000,1.5393328503867498,18,52,COMPLETE
98,1893.2286124700288,2025-08-03 22:51:36.139600,2025-08-03 22:52:14.318077,0 days 00:00:38.178477,2.7501051804741716,34,35,COMPLETE
99,865.3527693572767,2025-08-03 22:51:36.141175,2025-08-03 22:52:14.555434,0 days 00:00:38.414259,2.9006658996378185,23,73,COMPLETE
100,3259.315137407004,2025-08-03 22:51:36.144543,2025-08-03 22:52:16.297123,0 days 00:00:40.152580,1.9273083628917322,5,99,COMPLETE
101,2493.8301149497242,2025-08-03 22:51:36.149832,2025-08-03 22:52:16.272525,0 days 00:00:40.122693,2.613930962565286,31,82,COMPLETE
102,7651.2640115120275,2025-08-03 22:51:36.152564,2025-08-03 22:52:16.670719,0 days 00:00:40.518155,1.8187268463324844,25,94,COMPLETE
103,-160.45265601702104,2025-08-03 22:51:36.154030,2025-08-03 22:52:15.799636,0 days 00:00:39.645606,3.2787585651697313,35,92,COMPLETE
104,1329.4226176232942,2025-08-03 22:51:36.158037,2025-08-03 22:52:17.659818,0 days 00:00:41.501781,3.6542638108480636,26,79,COMPLETE
105,1472.4296097784827,2025-08-03 22:51:36.159152,2025-08-03 22:52:16.852830,0 days 00:00:40.693678,0.9989173540063039,40,51,COMPLETE
106,246.0290295176096,2025-08-03 22:51:36.161899,2025-08-03 22:52:17.999787,0 days 00:00:41.837888,2.9245117534082956,30,41,COMPLETE
107,946.0910783574329,2025-08-03 22:51:36.162873,2025-08-03 22:52:19.504970,0 days 00:00:43.342097,2.493563881373862,22,53,COMPLETE
108,5517.556209862288,2025-08-03 22:51:36.163906,2025-08-03 22:52:19.703786,0 days 00:00:43.539880,2.1012719864893317,35,94,COMPLETE
109,5625.256741798312,2025-08-03 22:51:36.165994,2025-08-03 22:52:20.017289,0 days 00:00:43.851295,1.8136473464198284,29,87,COMPLETE
110,1405.4606938407271,2025-08-03 22:51:36.171557,2025-08-03 22:52:20.034923,0 days 00:00:43.863366,2.0485385028707386,9,63,COMPLETE
111,6560.148214160863,2025-08-03 22:51:36.172207,2025-08-03 22:52:19.696476,0 days 00:00:43.524269,4.291330124572902,34,50,COMPLETE
112,216.94351092824226,2025-08-03 22:51:36.173137,2025-08-03 22:52:19.394703,0 days 00:00:43.221566,3.224576792218403,21,85,COMPLETE
113,422.74139285419795,2025-08-03 22:51:36.174897,2025-08-03 22:52:20.240589,0 days 00:00:44.065692,1.001257008177983,29,66,COMPLETE
114,1344.8081319939133,2025-08-03 22:51:36.181619,2025-08-03 22:52:19.830535,0 days 00:00:43.648916,2.635312612206994,38,69,COMPLETE
115,2892.375540219522,2025-08-03 22:51:36.210103,2025-08-03 22:52:19.911630,0 days 00:00:43.701527,1.7101508116155055,37,86,COMPLETE
116,-45.978861472275895,2025-08-03 22:51:36.234564,2025-08-03 22:52:20.453992,0 days 00:00:44.219428,0.539156409541695,47,82,COMPLETE
117,-inf,2025-08-03 22:51:36.312047,2025-08-03 22:52:21.578754,0 days 00:00:45.266707,3.6984272940401497,49,28,COMPLETE
118,6271.289014067549,2025-08-03 22:51:36.405191,2025-08-03 22:52:23.382643,0 days 00:00:46.977452,4.380448804050301,14,51,COMPLETE
119,-inf,2025-08-03 22:51:36.439638,2025-08-03 22:52:21.843035,0 days 00:00:45.403397,3.534700972419592,44,24,COMPLETE
120,2366.6514912601738,2025-08-03 22:51:36.499565,2025-08-03 22:52:23.138935,0 days 00:00:46.639370,2.7441577635475753,17,37,COMPLETE
121,213.13335527380664,2025-08-03 22:51:36.507801,2025-08-03 22:52:22.265092,0 days 00:00:45.757291,3.677330807914431,49,56,COMPLETE
122,1904.0923132684356,2025-08-03 22:51:36.548897,2025-08-03 22:52:23.701152,0 days 00:00:47.152255,2.0514641274970726,7,89,COMPLETE
123,2574.60557549209,2025-08-03 22:51:36.726038,2025-08-03 22:52:24.938446,0 days 00:00:48.212408,3.0230843682280377,43,73,COMPLETE
124,357.2990576371483,2025-08-03 22:51:36.776984,2025-08-03 22:52:26.821263,0 days 00:00:50.044279,3.4279900444236513,41,60,COMPLETE
125,1893.1159913891179,2025-08-03 22:51:36.831427,2025-08-03 22:52:24.969353,0 days 00:00:48.137926,4.487848400296334,46,52,COMPLETE
126,-inf,2025-08-03 22:51:36.954609,2025-08-03 22:52:24.550429,0 days 00:00:47.595820,4.467021995605228,48,23,COMPLETE
127,826.9489514377177,2025-08-03 22:51:36.977577,2025-08-03 22:52:24.431942,0 days 00:00:47.454365,0.567212298012568,13,62,COMPLETE
128,18.327187624608115,2025-08-03 22:51:36.989295,2025-08-03 22:52:24.930553,0 days 00:00:47.941258,3.4270662673043875,26,80,COMPLETE
129,9154.51461554421,2025-08-03 22:51:37.177990,2025-08-03 22:51:40.238020,0 days 00:00:03.060030,1.7348473447622832,6,68,COMPLETE
130,286.9007576132704,2025-08-03 22:51:37.351887,2025-08-03 22:51:40.504954,0 days 00:00:03.153067,0.5267197964936208,5,75,COMPLETE
131,7878.516334088524,2025-08-03 22:51:37.354030,2025-08-03 22:51:41.734106,0 days 00:00:04.380076,1.6249809261098564,6,76,COMPLETE
132,10336.7843654217,2025-08-03 22:51:37.427663,2025-08-03 22:51:43.668953,0 days 00:00:06.241290,1.5979576086060314,9,75,COMPLETE
133,8170.776389212368,2025-08-03 22:51:37.528114,2025-08-03 22:51:50.576469,0 days 00:00:13.048355,1.7439573829022663,5,76,COMPLETE
134,8394.653300440987,2025-08-03 22:51:37.537101,2025-08-03 22:52:19.507018,0 days 00:00:41.969917,1.6196417482767602,11,75,COMPLETE
135,9673.956071300536,2025-08-03 22:51:37.554334,2025-08-03 22:51:43.042241,0 days 00:00:05.487907,1.6873077945179213,8,76,COMPLETE
136,9096.3046306252,2025-08-03 22:51:37.804583,2025-08-03 22:52:25.391853,0 days 00:00:47.587270,1.5418825247926318,8,72,COMPLETE
137,11044.204839740727,2025-08-03 22:51:37.854598,2025-08-03 22:52:04.636238,0 days 00:00:26.781640,1.5654343746382144,5,72,COMPLETE
138,12370.0402132837,2025-08-03 22:51:37.898737,2025-08-03 22:51:57.354807,0 days 00:00:19.456070,1.4738145214530944,6,75,COMPLETE
139,9111.238275662185,2025-08-03 22:51:37.940444,2025-08-03 22:52:09.783716,0 days 00:00:31.843272,1.513628406283316,8,76,COMPLETE
140,9115.913215418723,2025-08-03 22:51:37.968464,2025-08-03 22:52:16.145308,0 days 00:00:38.176844,1.5671517386057272,5,77,COMPLETE
141,3958.4173553630503,2025-08-03 22:51:38.141658,2025-08-03 22:51:53.669228,0 days 00:00:15.527570,1.2882749772707836,5,79,COMPLETE
142,7602.873916094574,2025-08-03 22:51:38.248516,2025-08-03 22:52:02.989904,0 days 00:00:24.741388,1.541778570784138,5,76,COMPLETE
143,8970.147139026769,2025-08-03 22:51:38.286432,2025-08-03 22:52:30.884598,0 days 00:00:52.598166,1.4552545811148705,9,76,COMPLETE
144,8409.605499435687,2025-08-03 22:51:38.310997,2025-08-03 22:52:48.556521,0 days 00:01:10.245524,1.5682457854203022,5,76,COMPLETE
145,1550.7476473045351,2025-08-03 22:51:38.473180,2025-08-03 22:52:04.984839,0 days 00:00:26.511659,1.642168372781385,34,73,COMPLETE
146,11663.577825287963,2025-08-03 22:51:38.535448,2025-08-03 22:52:08.766405,0 days 00:00:30.230957,1.649293267184424,9,77,COMPLETE
147,9781.240980141034,2025-08-03 22:51:38.570891,2025-08-03 22:51:52.141674,0 days 00:00:13.570783,1.5696739187161377,10,76,COMPLETE
148,60.38341998588437,2025-08-03 22:51:38.599042,2025-08-03 22:52:15.787509,0 days 00:00:37.188467,0.5038469989078145,6,75,COMPLETE
149,8437.507188200678,2025-08-03 22:51:38.599811,2025-08-03 22:52:28.794226,0 days 00:00:50.194415,1.5117705284373184,7,75,COMPLETE
150,8385.908656540654,2025-08-03 22:51:38.611954,2025-08-03 22:52:35.601124,0 days 00:00:56.989170,1.450049818472536,9,76,COMPLETE
151,903.4897890072374,2025-08-03 22:51:38.676861,2025-08-03 22:52:24.957808,0 days 00:00:46.280947,0.6216545637530753,7,77,COMPLETE
152,665.645436651304,2025-08-03 22:51:38.721738,2025-08-03 22:52:23.084217,0 days 00:00:44.362479,0.6878940122311497,7,74,COMPLETE
153,3175.77492850995,2025-08-03 22:51:38.829748,2025-08-03 22:52:39.038847,0 days 00:01:00.209099,2.8505130613638716,8,73,COMPLETE
154,2003.570927466807,2025-08-03 22:51:38.899133,2025-08-03 22:52:41.642835,0 days 00:01:02.743702,2.921030965814321,7,75,COMPLETE
155,780.9259992887321,2025-08-03 22:51:39.057600,2025-08-03 22:53:01.662248,0 days 00:01:22.604648,0.6391085174535638,5,78,COMPLETE
156,1700.651327269912,2025-08-03 22:51:39.093851,2025-08-03 22:52:44.672227,0 days 00:01:05.578376,2.9783563822663996,10,81,COMPLETE
157,463.09976151615507,2025-08-03 22:51:39.127293,2025-08-03 22:52:31.586915,0 days 00:00:52.459622,0.6795195788460362,5,77,COMPLETE
158,3076.9473795039444,2025-08-03 22:51:39.187846,2025-08-03 22:51:58.752621,0 days 00:00:19.564775,2.948508681089966,5,78,COMPLETE
159,2593.535842659054,2025-08-03 22:51:39.210775,2025-08-03 22:52:27.302028,0 days 00:00:48.091253,2.817083297327654,7,75,COMPLETE
160,2316.9007409550422,2025-08-03 22:51:39.232518,2025-08-03 22:52:32.727860,0 days 00:00:53.495342,2.826218979822322,5,79,COMPLETE
161,3076.9473795039444,2025-08-03 22:51:39.271272,2025-08-03 22:52:27.765992,0 days 00:00:48.494720,2.9571070006494535,5,77,COMPLETE
162,3223.641928665083,2025-08-03 22:51:39.400939,2025-08-03 22:52:35.059953,0 days 00:00:55.659014,2.851994608664053,8,77,COMPLETE
163,2369.3269317655026,2025-08-03 22:51:39.441531,2025-08-03 22:52:35.069689,0 days 00:00:55.628158,2.860138274843501,6,70,COMPLETE
164,2541.3558970802537,2025-08-03 22:51:39.473934,2025-08-03 22:52:33.556546,0 days 00:00:54.082612,2.8645157116426976,5,79,COMPLETE
165,1045.2842212625299,2025-08-03 22:51:39.899909,2025-08-03 22:52:37.002821,0 days 00:00:57.102912,0.7399011404158093,5,58,COMPLETE
166,2713.9269320831304,2025-08-03 22:51:39.945964,2025-08-03 22:52:36.650204,0 days 00:00:56.704240,0.696253390229082,32,57,COMPLETE
167,1752.9134693150368,2025-08-03 22:51:39.952489,2025-08-03 22:52:36.974366,0 days 00:00:57.021877,2.871969632505568,5,56,COMPLETE
168,741.391152354746,2025-08-03 22:51:40.008640,2025-08-03 22:52:37.926538,0 days 00:00:57.917898,0.5531616430732211,32,60,COMPLETE
169,1162.3426948736942,2025-08-03 22:51:40.142659,2025-08-03 22:52:37.760283,0 days 00:00:57.617624,0.6214370665625184,32,60,COMPLETE
170,2303.8745427881004,2025-08-03 22:51:40.254536,2025-08-03 22:52:38.545211,0 days 00:00:58.290675,2.8187274456272684,6,69,COMPLETE
171,3533.940189640116,2025-08-03 22:51:40.276355,2025-08-03 22:52:59.059569,0 days 00:01:18.783214,2.8205019379584284,7,70,COMPLETE
172,543.5509223466653,2025-08-03 22:51:40.304824,2025-08-03 22:52:39.545979,0 days 00:00:59.241155,0.6507688182707265,5,69,COMPLETE
173,467.3473619241655,2025-08-03 22:51:40.316546,2025-08-03 22:52:40.151949,0 days 00:00:59.835403,0.6444695521415711,7,67,COMPLETE
174,2121.2454646216606,2025-08-03 22:51:40.334035,2025-08-03 22:52:41.418815,0 days 00:01:01.084780,2.7995107451211574,5,62,COMPLETE
175,2375.6212036770885,2025-08-03 22:51:40.408903,2025-08-03 22:52:43.031805,0 days 00:01:02.622902,2.77775862091541,5,69,COMPLETE
176,993.4942060252049,2025-08-03 22:51:40.457327,2025-08-03 22:52:43.785600,0 days 00:01:03.328273,0.6106723290030442,5,70,COMPLETE
177,1313.8904200845298,2025-08-03 22:51:40.490723,2025-08-03 22:53:00.605594,0 days 00:01:20.114871,0.6040894650199005,5,69,COMPLETE
178,13359.42560556835,2025-08-03 22:51:40.540401,2025-08-03 22:52:25.823657,0 days 00:00:45.283256,1.4239872356841796,11,60,COMPLETE
179,13207.42377257136,2025-08-03 22:51:40.596648,2025-08-03 22:51:58.917604,0 days 00:00:18.320956,1.4840805860210216,12,59,COMPLETE
180,12617.02073455127,2025-08-03 22:51:40.672915,2025-08-03 22:53:04.282329,0 days 00:01:23.609414,1.4366072194381956,12,61,COMPLETE
181,786.7352633747596,2025-08-03 22:51:40.707721,2025-08-03 22:52:45.677356,0 days 00:01:04.969635,2.7604795249545,33,63,COMPLETE
182,4054.1728066982073,2025-08-03 22:51:40.791214,2025-08-03 22:52:48.308882,0 days 00:01:07.517668,1.4367150829703736,33,61,COMPLETE
183,12990.593680780978,2025-08-03 22:51:40.821658,2025-08-03 22:52:33.094037,0 days 00:00:52.272379,1.4473860159970244,12,62,COMPLETE
184,2841.149173489294,2025-08-03 22:51:40.850757,2025-08-03 22:52:47.733499,0 days 00:01:06.882742,1.2894794575264878,33,62,COMPLETE
